,indicators,geocd,values
0,1590,1580,9937
1,1590,10,62
2,1590,0,0
3,1590,13,81
4,1590,21,132
5,1590,25,157
6,1590,18,113
7,1590,12,75
8,1590,14,88
9,1590,12,75
10,1590,20,125
11,1590,11,69
12,1590,26,163
13,1590,15,94
14,1590,9,56
15,1590,16,100
16,1590,13,81
17,1590,14,88
18,1590,19,119
19,1590,25,157
20,1590,13,81
21,1590,14,88
22,1590,12,75
23,1590,18,113
24,1590,10,62
25,1590,17,106
26,1590,22,138
27,1590,20,125
28,1590,21,132
29,1590,15,94
30,1590,12,75
31,1590,11,69
32,1590,26,163
33,1590,22,138
34,1590,22,138
35,1590,16,100
36,1590,19,119
37,1590,22,138
38,1590,12,75
39,1590,21,132
40,1590,14,88
41,1590,19,119
42,1590,22,138
43,1590,28,176
44,1590,16,100
45,1590,20,125
46,1590,15,94
47,1590,20,125
48,1590,19,119
49,1590,13,81
50,1590,20,125
51,1590,22,138
52,1590,22,138
53,1590,15,94
54,1590,21,132
55,1590,22,138
56,1590,8,50
57,1590,26,163
58,1590,21,132
59,1590,21,132
60,1590,10,62
61,1590,14,88
62,1590,22,138
63,1590,14,88
64,1590,12,75
65,1590,18,113
66,1590,28,176
67,1590,19,119
68,1590,23,144
69,1590,25,157
70,1590,22,138
71,1590,17,106
72,1590,23,144
73,1590,19,119
74,1590,19,119
75,1590,22,138
76,1590,18,113
77,1590,15,94
78,1590,22,138
79,1590,20,125
80,1590,20,125
81,1590,18,113
82,1590,15,94
83,1590,13,81
84,1590,12,75
85,1590,15,94
86,1590,11,69
87,1590,10,62
88,1590,6,37
89,1590,18,113
90,1590,7,44
91,1590,7,44
92,1590,13,81
93,1590,10,62
94,1590,6,37
95,1590,4,25
96,1590,4,25
97,1590,1,6
98,1590,1,6
99,1590,0,0
100,1590,2,12
101,1590,0,0
102,1590,2,12
103,1590,1,6
104,1590,728,4578
105,1590,862,5421
106,10,3,3000
107,10,7,7000
108,1590,1551,9754
109,1590,30,188
110,1590,9,56
111,1322,732,5537
112,1322,582,4402
113,1322,138,1043
114,1322,12,90
115,1322,590,4462
116,1322,269,2034
117,1322,15,113
118,1322,23,173
119,1322,115,869
120,1322,168,1270
121,1322,151,1142
122,1322,67,506
123,1322,84,635
124,1322,186,1406
125,1322,85,642
126,1322,68,514
127,1322,25,189
128,1322,8,60
129,1322,0,0
130,1322,374,2829
131,1322,185,1399
132,1322,56,423
133,1322,45,340
134,1322,60,453
135,1322,28,211
136,1322,179,1354
137,1322,30,226
138,1322,134,1013
139,1322,15,113
140,1322,201,1520
141,1322,69,521
142,1322,130,983
143,1322,2,15
144,1322,231,1747
145,1322,139,1051
146,1322,92,695
147,775,118,1522
148,775,19,245
149,775,28,361
150,775,71,916
151,775,218,2812
152,775,46,593
153,775,64,825
154,775,108,1393
155,775,110,1419
156,775,30,387
157,775,68,877
158,775,12,154
159,775,329,4245
160,775,208,2683
161,775,120,1548
162,775,1,12
163,1580,303,1917
164,1580,208,1316
165,1580,95,601
166,1580,1194,7556
167,1580,164,1037
168,1580,627,3968
169,1580,154,974
170,1580,148,936
171,1580,195,1234
172,1580,130,822
173,1580,0,0
174,1580,0,0
175,1580,0,0
176,1580,0,0
177,1580,0,0
178,1580,176,1113
179,1580,70,443
180,1580,58,367
181,1580,41,259
182,1580,7,44
183,1580,227,1436
184,1580,96,607
185,1580,63,398
186,1580,68,430
187,1580,83,525
188,1580,22,139
189,1580,28,177
190,1580,0,0
191,1580,4,25
192,1580,29,183
193,775,303,3909
194,775,208,2683
195,775,95,1225
196,775,448,5780
197,775,82,1058
198,775,205,2645
199,775,77,993
200,775,44,567
201,775,44,567
202,775,40,516
203,775,0,0
204,775,0,0
205,775,0,0
206,775,0,0
207,775,0,0
208,775,66,851
209,775,35,451
210,775,19,245
211,775,10,129
212,775,2,25
213,775,95,1225
214,775,46,593
215,775,19,245
216,775,30,387
217,775,24,309
218,775,6,77
219,775,4,51
220,775,0,0
221,775,2,25
222,775,12,154
223,1580,303,1917
224,1580,208,1316
225,1580,95,601
226,1580,1277,8082
227,1580,117,740
228,1580,236,1493
229,1580,300,1898
230,1580,232,1468
231,1580,38,240
232,1580,130,822
233,1580,224,1417
234,775,303,3909
235,775,208,2683
236,775,95,1225
237,775,472,6090
238,775,49,632
239,775,118,1522
240,775,88,1135
241,775,116,1496
242,775,7,90
243,775,26,335
244,775,68,877
245,775,303,3909
246,775,92,1187
247,775,198,2554
248,775,0,0
249,775,0,0
250,775,30,387
251,775,44,567
252,775,67,864
253,775,30,387
254,775,0,0
255,775,11,141
256,852,154,1807
257,852,698,8192
258,464,273,5883
259,464,37,797
260,464,26,560
261,464,52,1120
262,464,28,603
263,464,24,517
264,464,9,193
265,464,13,280
266,464,1,21
267,464,1,21
268,464,294,6336
269,775,257,3316
270,775,247,3187
271,775,218,2812
272,775,51,658
273,775,2,25
274,1590,1514,9522
275,1590,9,56
276,1590,0,0
277,1590,8,50
278,1590,4,25
279,1590,1,6
280,1590,9,56
281,1590,2,12
282,1590,21,132
283,1590,2,12
284,1590,0,0
285,1590,6,37
286,1590,2,12
287,1590,2,12
288,1590,1,6
289,1590,0,0
290,1590,4,25
291,1590,5,31
292,1590,1531,9628
293,1590,16,100
294,1590,31,194
295,1590,3,18
296,1590,9,56
297,775,303,3909
298,775,448,5780
299,775,7,90
300,775,16,206
301,775,1,12
302,1590,1558,9798
303,1590,1539,9679
304,1590,1508,9484
305,1590,2,12
306,1590,22,138
307,1590,7,44
308,1590,0,0
309,1590,0,0
310,1590,0,0
311,1590,0,0
312,1590,0,0
313,1590,0,0
314,1590,7,44
315,1590,12,75
316,1590,7,44
317,1590,2,12
318,1590,1,6
319,1590,0,0
320,1590,1,6
321,1590,0,0
322,1590,4,25
323,1590,0,0
324,1590,0,0
325,1590,3,18
326,1590,0,0
327,1590,1,6
328,1590,0,0
329,1590,21,132
330,1590,6,37
331,1590,3,18
332,1590,3,18
333,1590,2,12
334,1590,0,0
335,1590,2,12
336,1590,0,0
337,1590,11,69
338,1590,0,0
339,1590,10,62
340,1590,1,6
341,1590,0,0
342,1590,0,0
343,1590,2,12
344,1590,1,6
345,1590,1,6
346,1590,0,0
347,1590,1,6
