,indicators,geocd,values
0,1764,1764,10000
1,1764,0,0
2,1764,0,0
3,1764,22,124
4,1764,12,68
5,1764,22,124
6,1764,17,96
7,1764,16,90
8,1764,12,68
9,1764,20,113
10,1764,15,85
11,1764,15,85
12,1764,17,96
13,1764,19,107
14,1764,19,107
15,1764,17,96
16,1764,20,113
17,1764,20,113
18,1764,17,96
19,1764,18,102
20,1764,19,107
21,1764,14,79
22,1764,24,136
23,1764,27,153
24,1764,38,215
25,1764,34,192
26,1764,30,170
27,1764,39,221
28,1764,54,306
29,1764,41,232
30,1764,47,266
31,1764,48,272
32,1764,53,300
33,1764,42,238
34,1764,41,232
35,1764,32,181
36,1764,34,192
37,1764,30,170
38,1764,37,209
39,1764,31,175
40,1764,29,164
41,1764,17,96
42,1764,18,102
43,1764,17,96
44,1764,12,68
45,1764,22,124
46,1764,21,119
47,1764,24,136
48,1764,17,96
49,1764,25,141
50,1764,24,136
51,1764,23,130
52,1764,19,107
53,1764,20,113
54,1764,20,113
55,1764,20,113
56,1764,20,113
57,1764,17,96
58,1764,13,73
59,1764,13,73
60,1764,9,51
61,1764,18,102
62,1764,22,124
63,1764,20,113
64,1764,14,79
65,1764,18,102
66,1764,14,79
67,1764,18,102
68,1764,14,79
69,1764,18,102
70,1764,14,79
71,1764,9,51
72,1764,14,79
73,1764,8,45
74,1764,24,136
75,1764,13,73
76,1764,17,96
77,1764,7,39
78,1764,14,79
79,1764,12,68
80,1764,12,68
81,1764,2,11
82,1764,9,51
83,1764,3,17
84,1764,9,51
85,1764,4,22
86,1764,3,17
87,1764,7,39
88,1764,3,17
89,1764,4,22
90,1764,2,11
91,1764,0,0
92,1764,2,11
93,1764,0,0
94,1764,2,11
95,1764,0,0
96,1764,0,0
97,1764,1,5
98,1764,0,0
99,1764,0,0
100,1764,0,0
101,1764,0,0
102,1764,0,0
103,1764,0,0
104,1764,890,5045
105,1764,874,4954
106,23,11,4782
107,23,12,5217
108,1764,1613,9143
109,1764,83,470
110,1764,68,385
111,1484,460,3099
112,1484,312,2102
113,1484,120,808
114,1484,28,188
115,1484,1024,6900
116,1484,678,4568
117,1484,67,451
118,1484,73,491
119,1484,135,909
120,1484,71,478
121,1484,243,1637
122,1484,134,902
123,1484,109,734
124,1484,422,2843
125,1484,323,2176
126,1484,58,390
127,1484,24,161
128,1484,15,101
129,1484,2,13
130,1484,433,2917
131,1484,265,1785
132,1484,53,357
133,1484,58,390
134,1484,45,303
135,1484,12,80
136,1484,159,1071
137,1484,53,357
138,1484,90,606
139,1484,16,107
140,1484,138,929
141,1484,53,357
142,1484,77,518
143,1484,8,53
144,1484,89,599
145,1484,47,316
146,1484,42,283
147,754,190,2519
148,754,54,716
149,754,88,1167
150,754,48,636
151,754,272,3607
152,754,77,1021
153,754,86,1140
154,754,109,1445
155,754,115,1525
156,754,53,702
157,754,51,676
158,754,11,145
159,754,177,2347
160,754,100,1326
161,754,72,954
162,754,5,66
163,1764,284,1609
164,1764,100,566
165,1764,184,1043
166,1764,881,4994
167,1764,48,272
168,1764,346,1961
169,1764,88,498
170,1764,73,413
171,1764,118,668
172,1764,67,379
173,1764,6,34
174,1764,6,34
175,1764,0,0
176,1764,0,0
177,1764,0,0
178,1764,110,623
179,1764,46,260
180,1764,17,96
181,1764,40,226
182,1764,7,39
183,1764,371,2103
184,1764,102,578
185,1764,120,680
186,1764,149,844
187,1764,599,3395
188,1764,76,430
189,1764,138,782
190,1764,2,11
191,1764,3,17
192,1764,380,2154
193,754,284,3766
194,754,100,1326
195,754,184,2440
196,754,308,4084
197,754,24,318
198,754,107,1419
199,754,44,583
200,754,19,251
201,754,24,318
202,754,20,265
203,754,3,39
204,754,3,39
205,754,0,0
206,754,0,0
207,754,0,0
208,754,39,517
209,754,23,305
210,754,5,66
211,754,9,119
212,754,2,26
213,754,135,1790
214,754,40,530
215,754,32,424
216,754,63,835
217,754,162,2148
218,754,19,251
219,754,25,331
220,754,1,13
221,754,1,13
222,754,116,1538
223,1764,284,1609
224,1764,100,566
225,1764,184,1043
226,1764,1480,8390
227,1764,127,719
228,1764,112,634
229,1764,190,1077
230,1764,236,1337
231,1764,44,249
232,1764,274,1553
233,1764,497,2817
234,754,284,3766
235,754,100,1326
236,754,184,2440
237,754,470,6233
238,754,44,583
239,754,56,742
240,754,55,729
241,754,118,1564
242,754,8,106
243,754,51,676
244,754,138,1830
245,754,284,3766
246,754,54,716
247,754,101,1339
248,754,0,0
249,754,4,53
250,754,22,291
251,754,44,583
252,754,90,1193
253,754,67,888
254,754,1,13
255,754,87,1153
256,1220,245,2008
257,1220,975,7991
258,398,224,5628
259,398,25,628
260,398,26,653
261,398,40,1005
262,398,24,603
263,398,18,452
264,398,10,251
265,398,15,376
266,398,15,376
267,398,1,25
268,398,322,8090
269,754,224,2970
270,754,289,3832
271,754,177,2347
272,754,63,835
273,754,1,13
274,1764,505,2862
275,1764,29,164
276,1764,3,17
277,1764,336,1904
278,1764,51,289
279,1764,36,204
280,1764,14,79
281,1764,33,187
282,1764,26,147
283,1764,29,164
284,1764,25,141
285,1764,35,198
286,1764,71,402
