,indicators,geocd,values
0,1451,1451,10000
1,1451,0,0
2,1451,0,0
3,1451,6,41
4,1451,17,117
5,1451,16,110
6,1451,13,89
7,1451,15,103
8,1451,15,103
9,1451,12,82
10,1451,13,89
11,1451,10,68
12,1451,16,110
13,1451,15,103
14,1451,17,117
15,1451,22,151
16,1451,13,89
17,1451,17,117
18,1451,12,82
19,1451,20,137
20,1451,29,199
21,1451,23,158
22,1451,23,158
23,1451,18,124
24,1451,24,165
25,1451,24,165
26,1451,14,96
27,1451,23,158
28,1451,18,124
29,1451,19,130
30,1451,16,110
31,1451,12,82
32,1451,14,96
33,1451,14,96
34,1451,20,137
35,1451,26,179
36,1451,17,117
37,1451,9,62
38,1451,10,68
39,1451,14,96
40,1451,23,158
41,1451,19,130
42,1451,16,110
43,1451,18,124
44,1451,24,165
45,1451,15,103
46,1451,14,96
47,1451,33,227
48,1451,27,186
49,1451,20,137
50,1451,39,268
51,1451,20,137
52,1451,25,172
53,1451,38,261
54,1451,38,261
55,1451,36,248
56,1451,25,172
57,1451,42,289
58,1451,25,172
59,1451,21,144
60,1451,32,220
61,1451,21,144
62,1451,20,137
63,1451,21,144
64,1451,22,151
65,1451,18,124
66,1451,23,158
67,1451,17,117
68,1451,6,41
69,1451,12,82
70,1451,17,117
71,1451,5,34
72,1451,11,75
73,1451,12,82
74,1451,5,34
75,1451,7,48
76,1451,13,89
77,1451,4,27
78,1451,8,55
79,1451,8,55
80,1451,7,48
81,1451,6,41
82,1451,3,20
83,1451,6,41
84,1451,1,6
85,1451,3,20
86,1451,3,20
87,1451,0,0
88,1451,2,13
89,1451,0,0
90,1451,1,6
91,1451,1,6
92,1451,0,0
93,1451,0,0
94,1451,2,13
95,1451,0,0
96,1451,0,0
97,1451,0,0
98,1451,0,0
99,1451,0,0
100,1451,0,0
101,1451,0,0
102,1451,0,0
103,1451,0,0
104,1451,736,5072
105,1451,715,4927
106,26,19,7307
107,26,7,2692
108,1451,1412,9731
109,1451,25,172
110,1451,14,96
111,1222,850,6955
112,1222,728,5957
113,1222,110,900
114,1222,12,98
115,1222,372,3044
116,1222,268,2193
117,1222,9,73
118,1222,14,114
119,1222,51,417
120,1222,30,245
121,1222,198,1620
122,1222,103,842
123,1222,95,777
124,1222,165,1350
125,1222,90,736
126,1222,59,482
127,1222,16,130
128,1222,0,0
129,1222,0,0
130,1222,496,4058
131,1222,264,2160
132,1222,34,278
133,1222,77,630
134,1222,75,613
135,1222,46,376
136,1222,220,1800
137,1222,22,180
138,1222,184,1505
139,1222,14,114
140,1222,92,752
141,1222,13,106
142,1222,79,646
143,1222,0,0
144,1222,51,417
145,1222,12,98
146,1222,39,319
147,574,82,1428
148,574,15,261
149,574,29,505
150,574,38,662
151,574,274,4773
152,574,36,627
153,574,107,1864
154,574,131,2282
155,574,133,2317
156,574,22,383
157,574,102,1777
158,574,9,156
159,574,85,1480
160,574,25,435
161,574,59,1027
162,574,1,17
163,1451,98,675
164,1451,25,172
165,1451,73,503
166,1451,1263,8704
167,1451,84,578
168,1451,920,6340
169,1451,258,1778
170,1451,197,1357
171,1451,258,1778
172,1451,207,1426
173,1451,0,0
174,1451,0,0
175,1451,0,0
176,1451,0,0
177,1451,0,0
178,1451,149,1026
179,1451,58,399
180,1451,42,289
181,1451,42,289
182,1451,7,48
183,1451,110,758
184,1451,41,282
185,1451,35,241
186,1451,34,234
187,1451,90,620
188,1451,17,117
189,1451,14,96
190,1451,3,20
191,1451,3,20
192,1451,53,365
193,574,98,1707
194,574,25,435
195,574,73,1271
196,574,450,7839
197,574,42,731
198,574,309,5383
199,574,129,2247
200,574,59,1027
201,574,60,1045
202,574,61,1062
203,574,0,0
204,574,0,0
205,574,0,0
206,574,0,0
207,574,0,0
208,574,55,958
209,574,29,505
210,574,14,243
211,574,10,174
212,574,2,34
213,574,44,766
214,574,19,331
215,574,10,174
216,574,15,261
217,574,26,452
218,574,4,69
219,574,3,52
220,574,1,17
221,574,1,17
222,574,17,296
223,1451,98,675
224,1451,25,172
225,1451,73,503
226,1451,1353,9324
227,1451,47,323
228,1451,126,868
229,1451,316,2177
230,1451,320,2205
231,1451,42,289
232,1451,150,1033
233,1451,352,2425
234,574,98,1707
235,574,25,435
236,574,73,1271
237,574,476,8292
238,574,18,313
239,574,63,1097
240,574,91,1585
241,574,160,2787
242,574,8,139
243,574,33,574
244,574,103,1794
245,574,98,1707
246,574,120,2090
247,574,244,4250
248,574,0,0
249,574,0,0
250,574,24,418
251,574,35,609
252,574,31,540
253,574,15,261
254,574,1,17
255,574,6,104
256,1030,100,970
257,1030,930,9029
258,474,297,6265
259,474,26,548
260,474,23,485
261,474,47,991
262,474,20,421
263,474,31,654
264,474,16,337
265,474,8,168
266,474,3,63
267,474,3,63
268,474,280,5907
269,574,330,5749
270,574,173,3013
271,574,59,1027
272,574,11,191
273,574,1,17
274,1451,1431,9862
275,1451,2,13
276,1451,0,0
277,1451,1,6
278,1451,0,0
279,1451,4,27
280,1451,2,13
281,1451,1,6
282,1451,4,27
283,1451,0,0
284,1451,0,0
285,1451,4,27
286,1451,1,6
287,1451,0,0
288,1451,0,0
289,1451,0,0
290,1451,0,0
291,1451,1,6
292,1451,1434,9882
293,1451,7,48
294,1451,9,62
295,1451,0,0
296,1451,1,6
297,574,98,1707
298,574,466,8118
299,574,3,52
300,574,7,121
301,574,0,0
302,1451,1438,9910
303,1451,1433,9875
304,1451,1400,9648
305,1451,3,20
306,1451,28,192
307,1451,2,13
308,1451,0,0
309,1451,0,0
310,1451,0,0
311,1451,0,0
312,1451,0,0
313,1451,0,0
314,1451,1,6
315,1451,4,27
316,1451,1,6
317,1451,0,0
318,1451,0,0
319,1451,0,0
320,1451,0,0
321,1451,0,0
322,1451,1,6
323,1451,0,0
324,1451,0,0
325,1451,1,6
326,1451,0,0
327,1451,0,0
328,1451,0,0
329,1451,8,55
330,1451,0,0
331,1451,0,0
332,1451,0,0
333,1451,2,13
334,1451,0,0
335,1451,2,13
336,1451,0,0
337,1451,3,20
338,1451,0,0
339,1451,3,20
340,1451,0,0
341,1451,0,0
342,1451,0,0
343,1451,3,20
344,1451,1,6
345,1451,2,13
346,1451,0,0
347,1451,1,6
348,1451,0,0
349,1451,0,0
350,1451,0,0
351,1451,0,0
352,1451,0,0
353,1451,1,6
354,1451,0,0
355,1451,1,6
356,1451,3,20
357,1451,0,0
358,1451,3,20
359,1451,3,20
360,1451,0,0
361,1451,0,0
362,1451,0,0
363,1412,1412,10000
364,1412,0,0
365,1412,0,0
366,1412,0,0
367,1412,0,0
368,1412,0,0
369,1412,0,0
370,1412,0,0
371,1412,0,0
372,1412,0,0
373,1412,0,0
374,1412,0,0
375,1412,0,0
376,1412,0,0
377,1412,0,0
378,1412,0,0
379,1412,0,0
380,1412,0,0
381,1412,0,0
382,1412,0,0
383,1412,0,0
384,1412,0,0
385,1412,0,0
386,1412,0,0
387,1412,0,0
388,1412,0,0
389,1412,0,0
390,1412,0,0
391,1412,0,0
392,1412,0,0
393,1412,0,0
394,1412,0,0
395,1412,0,0
396,1412,0,0
397,1412,0,0
398,1412,0,0
399,1412,0,0
400,1412,0,0
401,1412,0,0
402,1412,0,0
403,1412,0,0
404,1412,0,0
405,1412,0,0
406,1412,0,0
407,1412,0,0
408,1412,0,0
409,1412,0,0
410,1412,0,0
411,1412,0,0
412,1412,0,0
413,1412,0,0
414,1412,0,0
415,1412,0,0
416,1412,0,0
417,1412,0,0
418,1412,0,0
419,1412,0,0
420,1412,0,0
421,1412,0,0
422,1412,0,0
423,1412,0,0
424,1412,0,0
425,1412,0,0
426,1412,0,0
427,1412,0,0
428,1412,0,0
429,1412,0,0
430,1412,0,0
431,1412,0,0
432,1412,0,0
433,1412,0,0
434,1412,0,0
435,1412,0,0
436,1412,0,0
437,1412,0,0
438,1412,0,0
439,1412,0,0
440,1412,0,0
441,1412,0,0
442,1412,0,0
443,1412,0,0
444,1412,0,0
445,1412,0,0
446,1412,0,0
447,1412,0,0
448,1412,0,0
449,1412,0,0
450,1412,0,0
451,1412,0,0
452,1412,0,0
453,1412,0,0
454,1412,0,0
455,1412,0,0
456,1412,0,0
457,1412,0,0
458,1412,0,0
459,1412,0,0
460,1412,0,0
461,1412,0,0
462,1412,0,0
463,1412,0,0
464,1412,0,0
465,1412,1412,10000
466,1412,0,0
467,1412,0,0
468,1412,0,0
469,1412,0,0
470,1451,1052,7250
471,1451,1,6
472,1451,3,20
473,1451,0,0
474,1451,0,0
475,1451,1,6
476,1451,1,6
477,1451,299,2060
478,1451,94,647
479,1451,1052,7250
480,1451,1,6
481,1451,3,20
482,1451,0,0
483,1451,0,0
484,1451,1,6
485,1451,1,6
486,1451,0,0
487,1451,0,0
488,1451,0,0
489,1451,0,0
490,1451,0,0
491,1451,0,0
492,1451,0,0
493,1451,0,0
494,1451,0,0
495,1451,0,0
496,1451,0,0
497,1451,0,0
498,1451,0,0
499,1451,0,0
500,1451,0,0
501,1451,0,0
502,1451,0,0
503,1451,0,0
504,1451,0,0
505,1451,0,0
506,1451,0,0
507,1451,0,0
508,1451,0,0
509,1451,0,0
510,1451,0,0
511,1451,0,0
512,1451,0,0
513,1451,0,0
514,1451,0,0
515,1451,0,0
516,1451,0,0
517,1451,0,0
518,1451,0,0
519,1451,0,0
520,1451,0,0
521,1451,0,0
522,1451,0,0
523,1451,0,0
524,1451,0,0
525,1451,0,0
526,1451,1,6
527,1451,299,2060
528,1451,292,2012
529,1451,0,0
530,1451,1,6
531,1451,0,0
532,1451,0,0
533,1451,0,0
534,1451,6,41
535,1451,0,0
536,1451,94,647
537,1451,1431,9862
538,1451,2,13
539,1451,0,0
540,1451,0,0
541,1451,0,0
542,1451,0,0
543,1451,0,0
544,1451,0,0
545,1451,0,0
546,1451,0,0
547,1451,0,0
548,1451,0,0
549,1451,0,0
550,1451,0,0
551,1451,0,0
552,1451,0,0
553,1451,0,0
554,1451,0,0
555,1451,0,0
556,1451,0,0
557,1451,0,0
558,1451,0,0
559,1451,0,0
560,1451,0,0
561,1451,0,0
562,1451,0,0
563,1451,0,0
564,1451,0,0
565,1451,0,0
566,1451,0,0
567,1451,0,0
568,1451,0,0
569,1451,0,0
570,1451,0,0
571,1451,0,0
572,1451,0,0
573,1451,0,0
574,1451,0,0
575,1451,0,0
576,1451,0,0
577,1451,1,6
578,1451,0,0
579,1451,0,0
580,1451,0,0
581,1451,0,0
582,1451,0,0
583,1451,0,0
584,1451,0,0
585,1451,0,0
586,1451,0,0
587,1451,0,0
588,1451,0,0
589,1451,0,0
590,1451,0,0
591,1451,0,0
592,1451,0,0
593,1451,0,0
594,1451,0,0
595,1451,0,0
596,1451,0,0
597,1451,4,27
598,1451,2,13
599,1451,0,0
600,1451,0,0
601,1451,0,0
602,1451,0,0
603,1451,0,0
604,1451,0,0
605,1451,0,0
606,1451,0,0
607,1451,0,0
608,1451,0,0
609,1451,0,0
610,1451,0,0
611,1451,0,0
612,1451,0,0
613,1451,0,0
614,1451,0,0
615,1451,0,0
616,1451,0,0
617,1451,0,0
618,1451,0,0
619,1451,0,0
620,1451,0,0
621,1451,0,0
622,1451,0,0
623,1451,0,0
624,1451,0,0
625,1451,0,0
626,1451,0,0
627,1451,0,0
628,1451,0,0
629,1451,0,0
630,1451,0,0
631,1451,0,0
632,1451,0,0
633,1451,0,0
634,1451,0,0
635,1451,0,0
636,1451,0,0
637,1451,0,0
638,1451,0,0
639,1451,0,0
640,1451,0,0
641,1451,0,0
642,1451,0,0
643,1451,0,0
644,1451,0,0
645,1451,0,0
646,1451,0,0
647,1451,0,0
648,1451,0,0
649,1451,0,0
650,1451,0,0
651,1451,0,0
652,1451,0,0
653,1451,0,0
654,1451,0,0
655,1451,1,6
656,1451,0,0
657,1451,0,0
658,1451,0,0
659,1451,0,0
660,1451,0,0
661,1451,0,0
662,1451,0,0
663,1451,0,0
664,1451,0,0
665,1451,0,0
666,1451,0,0
667,1451,4,27
668,1451,0,0
669,1451,0,0
670,1451,4,27
671,1451,0,0
672,1451,0,0
673,1451,0,0
674,1451,0,0
675,1451,0,0
676,1451,0,0
677,1451,0,0
678,1451,0,0
679,1451,0,0
680,1451,1,6
681,1451,0,0
682,1451,0,0
683,1451,0,0
684,1451,0,0
685,1451,0,0
686,1451,0,0
687,1451,0,0
688,1451,0,0
689,1451,0,0
690,1451,0,0
691,1451,0,0
692,1451,0,0
693,1451,0,0
694,1451,0,0
695,1451,0,0
696,1451,0,0
697,1451,0,0
698,1451,0,0
699,1451,0,0
700,1451,0,0
701,1451,0,0
702,1451,0,0
703,1451,0,0
704,1451,0,0
705,1451,0,0
706,1451,0,0
707,1451,0,0
708,1451,0,0
709,1451,0,0
710,1451,0,0
711,1451,0,0
712,1451,0,0
713,1451,0,0
714,1451,0,0
715,1451,0,0
716,1451,0,0
717,1451,0,0
718,1451,0,0
719,1451,0,0
720,1451,0,0
721,1451,0,0
722,1451,0,0
723,1451,0,0
724,1451,0,0
725,1451,0,0
726,1451,0,0
727,1451,0,0
728,1451,0,0
729,1451,0,0
730,1451,0,0
731,1451,0,0
732,1451,0,0
733,1451,0,0
734,1451,0,0
735,1451,0,0
736,1451,0,0
737,1451,0,0
738,1451,0,0
739,1451,0,0
740,1451,0,0
741,1451,0,0
742,1451,0,0
743,1451,0,0
744,1451,0,0
745,1451,0,0
746,1451,0,0
747,1451,0,0
748,1451,0,0
749,1451,0,0
750,1451,0,0
751,1451,0,0
752,1451,0,0
753,1451,0,0
754,1451,0,0
755,1451,0,0
756,1451,0,0
757,1451,0,0
758,1451,0,0
759,1451,0,0
760,1451,0,0
761,1451,0,0
762,1451,0,0
763,1451,1,6
764,1451,0,0
765,1451,0,0
766,1451,0,0
767,1451,0,0
768,1451,0,0
769,1451,0,0
770,1451,0,0
771,1451,0,0
772,1451,0,0
773,1451,0,0
774,1451,0,0
775,1451,0,0
776,1451,0,0
777,1451,0,0
778,1451,0,0
779,1451,0,0
780,1451,0,0
781,1451,0,0
782,1451,0,0
783,1451,0,0
784,1451,0,0
785,1451,0,0
786,1451,0,0
787,1451,1284,8849
788,1451,98,675
789,1451,24,165
790,1451,45,310
791,1451,747,5148
792,1451,492,3390
793,1451,162,1116
794,1451,41,282
795,1451,9,62
796,1451,83,572
797,1451,116,799
798,1451,1252,8628
799,1451,1451,10000
800,1451,1433,9875
801,1451,922,6354
802,1451,376,2591
803,1451,135,930
804,1451,18,124
805,1451,15,103
806,1451,3,20
807,1451,0,0
808,1451,0,0
809,1451,0,0
810,574,574,10000
811,574,560,9756
812,574,337,5871
813,574,164,2857
814,574,59,1027
815,574,14,243
816,574,12,209
817,574,2,34
818,574,0,0
819,574,0,0
820,574,0,0
821,1451,1293,8911
822,1451,427,2942
823,1451,866,5968
824,1451,21,144
825,1451,3,20
826,1451,3,20
827,1451,0,0
828,1451,133,916
829,1451,126,868
830,1451,0,0
831,1451,7,48
832,1451,0,0
833,1451,1,6
834,85,81,9529
835,85,1,117
836,85,0,0
837,85,0,0
838,85,2,235
839,85,1,117
840,574,509,8867
841,574,195,3397
842,574,314,5470
843,574,8,139
844,574,1,17
845,574,1,17
846,574,0,0
847,574,55,958
848,574,52,905
849,574,0,0
850,574,3,52
851,574,0,0
852,574,1,17
853,574,98,1707
854,574,233,4059
855,574,118,2055
856,574,96,1672
857,574,25,435
858,574,4,69
859,574,0,0
860,574,0,0
861,574,0,0
862,574,2,34
863,574,12,209
864,574,82,1428
865,574,130,2264
866,574,129,2247
867,574,121,2108
868,574,63,1097
869,574,35,609
870,574,399,6951
871,574,118,2055
872,574,49,853
873,574,8,139
874,574,0,0
875,574,439,7648
876,574,134,2334
877,574,1,17
878,574,0,0
879,1451,919,6333
880,1451,527,3631
881,1451,5,34
882,1451,0,0
883,574,2,34
884,574,13,226
885,574,106,1846
886,574,261,4547
887,574,178,3101
888,574,14,243
889,574,271,4721
890,574,228,3972
891,574,71,1236
892,574,3,52
893,574,1,17
894,574,150,2613
895,574,344,5993
896,574,67,1167
897,574,13,226
898,1451,213,1467
899,1451,900,6202
900,1451,282,1943
901,1451,56,385
902,574,8,139
903,574,546,9512
904,574,7,121
905,574,0,0
906,574,0,0
907,574,0,0
908,574,13,226
909,574,40,696
910,574,224,3902
911,574,231,4024
912,574,61,1062
913,574,18,313
914,584,574,9828
915,584,10,171
916,584,584,10000
917,584,0,0
918,0,0,0
919,0,0,0
920,0,0,0
921,0,0,0
922,0,0,0
923,0,0,0
924,0,0,0
925,0,0,0
926,0,0,0
927,0,0,0
928,0,0,0
929,0,0,0
930,0,0,0
931,0,0,0
932,0,0,0
933,0,0,0
934,0,0,0
935,0,0,0
936,0,0,0
937,0,0,0
938,0,0,0
939,0,0,0
940,0,0,0
941,0,0,0
942,0,0,0
943,0,0,0
944,0,0,0
945,0,0,0
946,0,0,0
947,0,0,0
948,0,0,0
949,0,0,0
950,0,0,0
951,0,0,0
952,0,0,0
953,0,0,0
954,0,0,0
955,0,0,0
956,0,0,0
957,0,0,0
958,0,0,0
959,0,0,0
960,0,0,0
961,0,0,0
962,0,0,0
963,0,0,0
964,0,0,0
965,0,0,0
966,0,0,0
967,0,0,0
968,0,0,0
969,0,0,0
970,0,0,0
971,0,0,0
972,0,0,0
973,0,0,0
974,0,0,0
975,0,0,0
976,0,0,0
977,0,0,0
978,0,0,0
979,0,0,0
980,0,0,0
981,0,0,0
982,0,0,0
983,0,0,0
984,0,0,0
985,0,0,0
986,0,0,0
987,1222,182,1489
988,1222,171,1399
989,1222,220,1800
990,1222,82,671
991,1222,199,1628
992,1222,337,2757
993,1222,31,253
994,1222,1222,10000
995,1222,182,1489
996,1222,508,4157
997,1222,161,1317
998,1222,482,3944
999,1222,296,2422
1000,1222,182,1489
1001,1222,182,1489
1002,1222,255,2086
1003,1222,158,1292
1004,1222,108,883
1005,1222,181,1481
1006,1222,288,2356
1007,1222,8,65
1008,1171,907,7745
1009,1171,199,1699
1010,1171,558,4765
1011,1171,3,25
1012,1171,13,111
1013,1171,16,136
1014,1171,40,341
1015,1171,31,264
1016,1171,47,401
1017,1171,264,2254
1018,1171,140,1195
1019,1171,46,392
1020,1171,35,298
1021,1171,34,290
1022,1171,9,76
1023,574,467,8135
1024,574,54,940
1025,574,357,6219
1026,574,2,34
1027,574,10,174
1028,574,6,104
1029,574,26,452
1030,574,9,156
1031,574,3,52
1032,574,107,1864
1033,574,94,1637
1034,574,1,17
1035,574,1,17
1036,574,8,139
1037,574,3,52
1038,91,37,4065
1039,91,10,1098
1040,91,44,4835
1041,866,248,2863
1042,866,67,773
1043,866,181,2090
1044,866,618,7136
1045,866,533,6154
1046,866,85,981
1047,866,1,11
1048,866,10,115
1049,866,113,1304
1050,866,17,196
1051,866,0,0
1052,866,4,46
1053,866,30,346
1054,866,25,288
1055,866,16,184
1056,866,21,242
1057,866,22,254
1058,866,8,92
1059,866,88,1016
1060,866,134,1547
1061,866,34,392
1062,866,34,392
1063,866,13,150
1064,866,31,357
1065,866,12,138
1066,866,54,623
1067,866,24,277
1068,866,62,715
1069,866,73,842
1070,866,120,1385
1071,866,33,381
1072,866,0,0
1073,866,0,0
1074,866,83,958
1075,866,62,715
1076,866,0,0
1077,866,22,254
1078,866,13,150
1079,866,6,69
1080,866,3,34
1081,866,1,11
1082,866,4,46
1083,866,13,150
1084,866,21,242
1085,866,0,0
1086,866,4,46
1087,866,3,34
1088,866,14,161
1089,866,136,1570
1090,866,39,450
1091,866,6,69
1092,866,22,254
1093,866,7,80
1094,866,1,11
1095,866,3,34
1096,866,36,415
1097,866,6,69
1098,866,1,11
1099,866,29,334
1100,866,31,357
1101,866,31,357
1102,866,30,346
1103,866,0,0
1104,866,11,127
1105,866,7,80
1106,866,4,46
1107,866,1,11
1108,866,5,57
1109,866,2,23
1110,866,104,1200
1111,866,28,323
1112,866,16,184
1113,866,8,92
1114,866,4,46
1115,866,6,69
1116,866,1,11
1117,866,5,57
1118,866,18,207
1119,866,18,207
1120,866,6,69
1121,866,1,11
1122,866,3,34
1123,866,2,23
1124,866,46,531
1125,866,3,34
1126,866,1,11
1127,866,14,161
1128,866,12,138
1129,866,1,11
1130,866,15,173
1131,866,118,1362
1132,866,95,1096
1133,866,20,230
