,indicators,geocd,values
0,1826,1826,10000
1,1826,0,0
2,1826,0,0
3,1826,14,76
4,1826,12,65
5,1826,30,164
6,1826,20,109
7,1826,13,71
8,1826,19,104
9,1826,16,87
10,1826,24,131
11,1826,19,104
12,1826,22,120
13,1826,25,136
14,1826,14,76
15,1826,18,98
16,1826,20,109
17,1826,25,136
18,1826,21,115
19,1826,22,120
20,1826,14,76
21,1826,25,136
22,1826,20,109
23,1826,14,76
24,1826,15,82
25,1826,15,82
26,1826,15,82
27,1826,14,76
28,1826,19,104
29,1826,10,54
30,1826,13,71
31,1826,20,109
32,1826,11,60
33,1826,15,82
34,1826,19,104
35,1826,15,82
36,1826,17,93
37,1826,13,71
38,1826,20,109
39,1826,21,115
40,1826,18,98
41,1826,24,131
42,1826,28,153
43,1826,23,125
44,1826,27,147
45,1826,20,109
46,1826,28,153
47,1826,13,71
48,1826,13,71
49,1826,23,125
50,1826,25,136
51,1826,20,109
52,1826,21,115
53,1826,32,175
54,1826,25,136
55,1826,28,153
56,1826,25,136
57,1826,20,109
58,1826,17,93
59,1826,31,169
60,1826,33,180
61,1826,27,147
62,1826,22,120
63,1826,23,125
64,1826,29,158
65,1826,44,240
66,1826,35,191
67,1826,35,191
68,1826,15,82
69,1826,29,158
70,1826,30,164
71,1826,19,104
72,1826,35,191
73,1826,30,164
74,1826,26,142
75,1826,29,158
76,1826,14,76
77,1826,20,109
78,1826,24,131
79,1826,18,98
80,1826,18,98
81,1826,16,87
82,1826,18,98
83,1826,12,65
84,1826,20,109
85,1826,8,43
86,1826,11,60
87,1826,8,43
88,1826,12,65
89,1826,8,43
90,1826,6,32
91,1826,5,27
92,1826,6,32
93,1826,5,27
94,1826,5,27
95,1826,2,10
96,1826,1,5
97,1826,1,5
98,1826,4,21
99,1826,1,5
100,1826,2,10
101,1826,0,0
102,1826,0,0
103,1826,0,0
104,1826,868,4753
105,1826,958,5246
106,22,10,4545
107,22,12,5454
108,1826,1778,9737
109,1826,37,202
110,1826,11,60
111,1514,859,5673
112,1514,718,4742
113,1514,137,904
114,1514,4,26
115,1514,655,4326
116,1514,306,2021
117,1514,13,85
118,1514,30,198
119,1514,165,1089
120,1514,141,931
121,1514,154,1017
122,1514,52,343
123,1514,102,673
124,1514,152,1003
125,1514,83,548
126,1514,48,317
127,1514,19,125
128,1514,2,13
129,1514,0,0
130,1514,454,2998
131,1514,222,1466
132,1514,59,389
133,1514,79,521
134,1514,62,409
135,1514,32,211
136,1514,296,1955
137,1514,82,541
138,1514,186,1228
139,1514,28,184
140,1514,247,1631
141,1514,85,561
142,1514,160,1056
143,1514,2,13
144,1514,211,1393
145,1514,101,667
146,1514,110,726
147,886,84,948
148,886,17,191
149,886,20,225
150,886,47,530
151,886,280,3160
152,886,64,722
153,886,77,869
154,886,139,1568
155,886,188,2121
156,886,82,925
157,886,91,1027
158,886,15,169
159,886,334,3769
160,886,186,2099
161,886,146,1647
162,886,2,22
163,1826,349,1911
164,1826,186,1018
165,1826,163,892
166,1826,1388,7601
167,1826,188,1029
168,1826,755,4134
169,1826,248,1358
170,1826,117,640
171,1826,260,1423
172,1826,130,711
173,1826,0,0
174,1826,0,0
