,indicators,geocd,values
0,1338,1336,9985
1,1338,2,14
2,1338,0,0
3,1338,10,74
4,1338,22,164
5,1338,14,104
6,1338,12,89
7,1338,14,104
8,1338,13,97
9,1338,11,82
10,1338,17,127
11,1338,9,67
12,1338,19,142
13,1338,12,89
14,1338,16,119
15,1338,19,142
16,1338,20,149
17,1338,19,142
18,1338,30,224
19,1338,22,164
20,1338,13,97
21,1338,9,67
22,1338,15,112
23,1338,11,82
24,1338,12,89
25,1338,18,134
26,1338,20,149
27,1338,12,89
28,1338,21,156
29,1338,6,44
30,1338,17,127
31,1338,17,127
32,1338,15,112
33,1338,14,104
34,1338,17,127
35,1338,13,97
36,1338,10,74
37,1338,16,119
38,1338,15,112
39,1338,15,112
40,1338,29,216
41,1338,16,119
42,1338,21,156
43,1338,14,104
44,1338,18,134
45,1338,23,171
46,1338,23,171
47,1338,21,156
48,1338,17,127
49,1338,14,104
50,1338,27,201
51,1338,23,171
52,1338,18,134
53,1338,10,74
54,1338,8,59
55,1338,12,89
56,1338,19,142
57,1338,16,119
58,1338,9,67
59,1338,14,104
60,1338,17,127
61,1338,14,104
62,1338,12,89
63,1338,13,97
64,1338,18,134
65,1338,15,112
66,1338,18,134
67,1338,25,186
68,1338,13,97
69,1338,22,164
70,1338,20,149
71,1338,11,82
72,1338,17,127
73,1338,15,112
74,1338,12,89
75,1338,17,127
76,1338,10,74
77,1338,15,112
78,1338,12,89
79,1338,9,67
80,1338,10,74
81,1338,10,74
82,1338,21,156
83,1338,17,127
84,1338,10,74
85,1338,9,67
86,1338,6,44
87,1338,3,22
88,1338,5,37
89,1338,4,29
90,1338,5,37
91,1338,1,7
92,1338,6,44
93,1338,3,22
94,1338,2,14
95,1338,1,7
96,1338,0,0
97,1338,1,7
98,1338,0,0
99,1338,2,14
100,1338,0,0
101,1338,0,0
102,1338,0,0
103,1338,0,0
104,1338,632,4723
105,1338,706,5276
106,4,2,5000
107,4,2,5000
108,1338,1312,9805
109,1338,22,164
110,1338,4,29
111,1079,634,5875
112,1079,502,4652
113,1079,126,1167
114,1079,6,55
115,1079,445,4124
116,1079,240,2224
117,1079,13,120
118,1079,23,213
119,1079,85,787
120,1079,84,778
121,1079,132,1223
122,1079,59,546
123,1079,73,676
124,1079,145,1343
125,1079,77,713
126,1079,46,426
127,1079,16,148
128,1079,6,55
129,1079,0,0
130,1079,358,3317
131,1079,168,1556
132,1079,40,370
133,1079,68,630
134,1079,64,593
135,1079,18,166
136,1079,155,1436
137,1079,23,213
138,1079,117,1084
139,1079,15,139
140,1079,152,1408
141,1079,46,426
142,1079,100,926
143,1079,6,55
144,1079,137,1269
145,1079,59,546
146,1079,78,722
147,603,103,1708
148,603,29,480
149,603,24,398
150,603,50,829
151,603,209,3466
152,603,40,663
153,603,57,945
154,603,112,1857
155,603,95,1575
156,603,23,381
157,603,62,1028
158,603,10,165
159,603,196,3250
160,603,105,1741
161,603,90,1492
162,603,1,16
163,1336,197,1474
164,1336,105,785
165,1336,92,688
166,1336,1025,7672
167,1336,128,958
168,1336,524,3922
169,1336,138,1032
170,1336,99,741
171,1336,197,1474
172,1336,90,673
173,1336,4,29
174,1336,0,0
175,1336,0,0
176,1336,4,29
177,1336,0,0
178,1336,170,1272
179,1336,58,434
180,1336,36,269
181,1336,64,479
182,1336,12,89
183,1336,199,1489
184,1336,94,703
185,1336,63,471
186,1336,42,314
187,1336,114,853
188,1336,9,67
189,1336,47,351
190,1336,0,0
191,1336,2,14
192,1336,56,419
193,603,197,3266
194,603,105,1741
195,603,92,1525
196,603,375,6218
197,603,64,1061
198,603,171,2835
199,603,69,1144
200,603,29,480
201,603,46,762
202,603,27,447
203,603,1,16
204,603,0,0
205,603,0,0
206,603,1,16
207,603,0,0
208,603,60,995
209,603,29,480
210,603,12,199
211,603,15,248
212,603,4,66
213,603,79,1310
214,603,43,713
215,603,17,281
216,603,19,315
217,603,31,514
218,603,2,33
219,603,8,132
220,603,0,0
221,603,1,16
222,603,20,331
223,1336,197,1474
224,1336,105,785
225,1336,92,688
226,1336,1139,8525
227,1336,120,898
228,1336,180,1347
229,1336,267,1998
230,1336,204,1526
231,1336,53,396
232,1336,129,965
233,1336,186,1392
234,603,197,3266
235,603,105,1741
236,603,92,1525
237,603,406,6733
238,603,47,779
239,603,90,1492
240,603,75,1243
241,603,102,1691
242,603,10,165
243,603,26,431
244,603,56,928
245,603,197,3266
246,603,80,1326
247,603,169,2802
248,603,1,16
249,603,0,0
250,603,28,464
251,603,35,580
252,603,61,1011
253,603,21,348
254,603,0,0
255,603,11,182
256,755,146,1933
257,755,609,8066
258,403,229,5682
259,403,25,620
260,403,20,496
261,403,45,1116
262,403,23,570
263,403,21,521
264,403,17,421
265,403,9,223
266,403,12,297
267,403,2,49
268,403,291,7220
269,603,238,3946
270,603,187,3101
271,603,139,2305
272,603,36,597
273,603,3,49
274,1338,1291,9648
275,1338,10,74
276,1338,0,0
277,1338,10,74
278,1338,10,74
279,1338,0,0
280,1338,2,14
281,1338,0,0
282,1338,5,37
283,1338,0,0
284,1338,1,7
285,1338,0,0
286,1338,1,7
287,1338,0,0
288,1338,6,44
289,1338,1,7
290,1338,0,0
291,1338,1,7
292,1338,1311,9798
293,1338,12,89
294,1338,7,52
295,1338,7,52
296,1338,1,7
297,603,197,3266
298,603,381,6318
299,603,6,99
300,603,17,281
301,603,2,33
