,indicators,geocd,values
0,1669,1669,10000
1,1669,0,0
2,1669,0,0
3,1669,44,263
4,1669,43,257
5,1669,33,197
6,1669,34,203
7,1669,35,209
8,1669,33,197
9,1669,28,167
10,1669,27,161
11,1669,19,113
12,1669,23,137
13,1669,30,179
14,1669,20,119
15,1669,25,149
16,1669,24,143
17,1669,19,113
18,1669,19,113
19,1669,23,137
20,1669,16,95
21,1669,21,125
22,1669,13,77
23,1669,19,113
24,1669,16,95
25,1669,21,125
26,1669,46,275
27,1669,38,227
28,1669,49,293
29,1669,45,269
30,1669,35,209
31,1669,44,263
32,1669,49,293
33,1669,44,263
34,1669,51,305
35,1669,38,227
36,1669,33,197
37,1669,36,215
38,1669,31,185
39,1669,36,215
40,1669,45,269
41,1669,31,185
42,1669,31,185
43,1669,20,119
44,1669,24,143
45,1669,34,203
46,1669,34,203
47,1669,24,143
48,1669,28,167
49,1669,20,119
50,1669,26,155
51,1669,13,77
52,1669,23,137
53,1669,10,59
54,1669,12,71
55,1669,22,131
56,1669,10,59
57,1669,16,95
58,1669,5,29
59,1669,11,65
60,1669,4,23
61,1669,11,65
62,1669,6,35
63,1669,7,41
64,1669,2,11
65,1669,6,35
66,1669,2,11
67,1669,5,29
68,1669,2,11
69,1669,7,41
70,1669,2,11
71,1669,2,11
72,1669,0,0
73,1669,0,0
74,1669,3,17
75,1669,1,5
76,1669,1,5
77,1669,1,5
78,1669,0,0
79,1669,0,0
80,1669,0,0
81,1669,2,11
82,1669,1,5
83,1669,0,0
84,1669,2,11
85,1669,0,0
86,1669,0,0
87,1669,1,5
88,1669,2,11
89,1669,0,0
90,1669,0,0
91,1669,0,0
92,1669,0,0
93,1669,0,0
94,1669,0,0
95,1669,0,0
96,1669,0,0
97,1669,0,0
98,1669,0,0
99,1669,0,0
100,1669,0,0
101,1669,0,0
102,1669,0,0
103,1669,0,0
104,1669,844,5056
105,1669,825,4943
106,25,11,4400
107,25,14,5600
108,1669,1596,9562
109,1669,59,353
110,1669,14,83
111,1213,786,6479
112,1213,484,3990
113,1213,290,2390
114,1213,12,98
115,1213,427,3520
116,1213,290,2390
117,1213,11,90
118,1213,34,280
119,1213,81,667
120,1213,11,90
121,1213,213,1755
122,1213,106,873
123,1213,107,882
124,1213,424,3495
125,1213,197,1624
126,1213,176,1450
127,1213,43,354
128,1213,8,65
129,1213,0,0
130,1213,490,4039
131,1213,218,1797
132,1213,77,634
133,1213,89,733
134,1213,79,651
135,1213,27,222
136,1213,59,486
137,1213,10,82
138,1213,42,346
139,1213,7,57
140,1213,19,156
141,1213,2,16
142,1213,15,123
143,1213,2,16
144,1213,8,65
145,1213,2,16
146,1213,6,49
147,652,279,4279
148,652,50,766
149,652,90,1380
150,652,139,2131
151,652,316,4846
152,652,83,1273
153,652,71,1088
154,652,162,2484
155,652,38,582
156,652,10,153
157,652,25,383
158,652,3,46
159,652,19,291
160,652,4,61
161,652,13,199
162,652,2,30
163,1669,147,880
164,1669,4,23
165,1669,143,856
166,1669,1328,7956
167,1669,10,59
168,1669,733,4391
169,1669,108,647
170,1669,177,1060
171,1669,393,2354
172,1669,55,329
