,indicators,geocd,values
0,1581,1559,9860
1,1581,22,139
2,1581,0,0
3,1581,36,227
4,1581,45,284
5,1581,50,316
6,1581,31,196
7,1581,43,271
8,1581,32,202
9,1581,30,189
10,1581,34,215
11,1581,23,145
12,1581,23,145
13,1581,22,139
14,1581,22,139
15,1581,20,126
16,1581,28,177
17,1581,22,139
18,1581,21,132
19,1581,39,246
20,1581,32,202
21,1581,24,151
22,1581,27,170
23,1581,20,126
24,1581,17,107
25,1581,29,183
26,1581,30,189
27,1581,27,170
28,1581,36,227
29,1581,30,189
30,1581,27,170
31,1581,38,240
32,1581,22,139
33,1581,36,227
34,1581,38,240
35,1581,29,183
36,1581,33,208
37,1581,30,189
38,1581,28,177
39,1581,36,227
40,1581,24,151
41,1581,17,107
42,1581,26,164
43,1581,25,158
44,1581,23,145
45,1581,25,158
46,1581,20,126
47,1581,11,69
48,1581,29,183
49,1581,20,126
50,1581,15,94
51,1581,16,101
52,1581,14,88
53,1581,10,63
54,1581,13,82
55,1581,17,107
56,1581,8,50
57,1581,15,94
58,1581,17,107
59,1581,7,44
60,1581,5,31
61,1581,8,50
62,1581,4,25
63,1581,5,31
64,1581,8,50
65,1581,10,63
66,1581,7,44
67,1581,4,25
68,1581,7,44
69,1581,4,25
70,1581,7,44
71,1581,4,25
72,1581,3,18
73,1581,4,25
74,1581,5,31
75,1581,2,12
76,1581,4,25
77,1581,3,18
78,1581,4,25
79,1581,3,18
80,1581,0,0
81,1581,2,12
82,1581,3,18
83,1581,2,12
84,1581,3,18
85,1581,2,12
86,1581,0,0
87,1581,1,6
88,1581,0,0
89,1581,1,6
90,1581,0,0
91,1581,2,12
92,1581,0,0
93,1581,1,6
94,1581,0,0
95,1581,1,6
96,1581,0,0
97,1581,0,0
98,1581,0,0
99,1581,0,0
100,1581,0,0
101,1581,0,0
102,1581,0,0
103,1581,0,0
104,1581,806,5098
105,1581,775,4901
106,19,13,6842
107,19,6,3157
108,1581,1516,9588
109,1581,31,196
110,1581,34,215
111,1081,506,4680
112,1081,382,3533
113,1081,118,1091
114,1081,6,55
115,1081,575,5319
116,1081,402,3718
117,1081,39,360
118,1081,48,444
119,1081,61,564
120,1081,25,231
121,1081,244,2257
122,1081,116,1073
123,1081,128,1184
124,1081,319,2950
125,1081,139,1285
126,1081,136,1258
127,1081,33,305
128,1081,8,74
129,1081,3,27
130,1081,383,3543
131,1081,155,1433
132,1081,90,832
133,1081,63,582
134,1081,56,518
135,1081,19,175
136,1081,68,629
137,1081,19,175
138,1081,38,351
139,1081,11,101
140,1081,42,388
141,1081,11,101
142,1081,27,249
143,1081,4,37
144,1081,25,231
145,1081,9,83
146,1081,16,148
147,569,223,3919
148,569,56,984
149,569,64,1124
150,569,103,1810
151,569,253,4446
152,569,59,1036
153,569,46,808
154,569,148,2601
155,569,46,808
156,569,19,333
157,569,19,333
158,569,8,140
159,569,47,826
160,569,20,351
161,569,25,439
162,569,2,35
163,1559,154,987
164,1559,20,128
165,1559,134,859
166,1559,1096,7030
167,1559,18,115
168,1559,600,3848
169,1559,50,320
170,1559,113,724
171,1559,403,2584
172,1559,34,218
173,1559,0,0
174,1559,0,0
175,1559,0,0
176,1559,0,0
177,1559,0,0
178,1559,166,1064
179,1559,62,397
180,1559,30,192
181,1559,68,436
182,1559,6,38
183,1559,312,2001
184,1559,100,641
185,1559,171,1096
186,1559,41,262
187,1559,309,1982
188,1559,43,275
189,1559,103,660
190,1559,24,153
191,1559,0,0
192,1559,139,891
193,569,154,2706
194,569,20,351
195,569,134,2355
196,569,328,5764
197,569,9,158
198,569,154,2706
199,569,25,439
200,569,35,615
201,569,83,1458
202,569,11,193
203,569,0,0
204,569,0,0
205,569,0,0
206,569,0,0
207,569,0,0
208,569,57,1001
209,569,31,544
210,569,9,158
211,569,15,263
212,569,2,35
213,569,108,1898
214,569,47,826
215,569,41,720
216,569,20,351
217,569,87,1528
218,569,12,210
219,569,19,333
220,569,11,193
221,569,0,0
222,569,45,790
223,1559,154,987
224,1559,20,128
225,1559,134,859
226,1559,1405,9012
227,1559,193,1237
228,1559,36,230
229,1559,335,2148
230,1559,196,1257
231,1559,192,1231
232,1559,260,1667
233,1559,193,1237
234,569,154,2706
235,569,20,351
236,569,134,2355
237,569,415,7293
238,569,66,1159
239,569,18,316
240,569,95,1669
241,569,98,1722
242,569,35,615
243,569,50,878
244,569,53,931
245,569,154,2706
246,569,133,2337
247,569,52,913
248,569,0,0
249,569,0,0
250,569,24,421
251,569,38,667
252,569,102,1792
253,569,22,386
254,569,10,175
255,569,34,597
256,943,216,2290
257,943,727,7709
258,383,119,3107
259,383,52,1357
260,383,27,704
261,383,33,861
262,383,48,1253
263,383,20,522
264,383,13,339
265,383,45,1174
266,383,24,626
267,383,2,52
268,383,530,13838
269,569,147,2583
270,569,234,4112
271,569,131,2302
272,569,52,913
273,569,5,87
274,1581,505,3194
275,1581,8,50
