,indicators,geocd,values
0,1691,1691,10000
1,1691,0,0
2,1691,0,0
3,1691,31,183
4,1691,37,218
5,1691,35,206
6,1691,28,165
7,1691,34,201
8,1691,27,159
9,1691,19,112
10,1691,26,153
11,1691,21,124
12,1691,28,165
13,1691,26,153
14,1691,28,165
15,1691,28,165
16,1691,28,165
17,1691,37,218
18,1691,25,147
19,1691,31,183
20,1691,27,159
21,1691,33,195
22,1691,28,165
23,1691,28,165
24,1691,21,124
25,1691,29,171
26,1691,14,82
27,1691,26,153
28,1691,24,141
29,1691,31,183
30,1691,21,124
31,1691,36,212
32,1691,27,159
33,1691,14,82
34,1691,24,141
35,1691,19,112
36,1691,23,136
37,1691,14,82
38,1691,18,106
39,1691,28,165
40,1691,33,195
41,1691,23,136
42,1691,13,76
43,1691,24,141
44,1691,29,171
45,1691,40,236
46,1691,37,218
47,1691,38,224
48,1691,20,118
49,1691,23,136
50,1691,19,112
51,1691,17,100
52,1691,15,88
53,1691,12,70
54,1691,21,124
55,1691,20,118
56,1691,15,88
57,1691,23,136
58,1691,8,47
59,1691,14,82
60,1691,12,70
61,1691,10,59
62,1691,10,59
63,1691,8,47
64,1691,7,41
65,1691,9,53
66,1691,16,94
67,1691,15,88
68,1691,12,70
69,1691,15,88
70,1691,12,70
71,1691,14,82
72,1691,12,70
73,1691,10,59
74,1691,8,47
75,1691,14,82
76,1691,8,47
77,1691,19,112
78,1691,10,59
79,1691,4,23
80,1691,5,29
81,1691,2,11
82,1691,3,17
83,1691,4,23
84,1691,3,17
85,1691,7,41
86,1691,4,23
87,1691,4,23
88,1691,2,11
89,1691,2,11
90,1691,2,11
91,1691,1,5
92,1691,1,5
93,1691,0,0
94,1691,3,17
95,1691,0,0
96,1691,3,17
97,1691,0,0
98,1691,1,5
99,1691,1,5
100,1691,0,0
101,1691,0,0
102,1691,0,0
103,1691,0,0
104,1691,819,4843
105,1691,872,5156
106,19,10,5263
107,19,9,4736
108,1691,1645,9727
109,1691,39,230
110,1691,7,41
111,1233,444,3600
112,1233,252,2043
113,1233,176,1427
114,1233,16,129
115,1233,789,6399
116,1233,506,4103
117,1233,23,186
118,1233,64,519
119,1233,107,867
120,1233,89,721
121,1233,237,1922
122,1233,86,697
123,1233,151,1224
124,1233,233,1889
125,1233,88,713
126,1233,99,802
127,1233,41,332
128,1233,4,32
129,1233,1,8
130,1233,468,3795
131,1233,241,1954
132,1233,65,527
133,1233,70,567
134,1233,68,551
135,1233,24,194
136,1233,109,884
137,1233,42,340
138,1233,58,470
139,1233,9,72
140,1233,124,1005
141,1233,54,437
142,1233,63,510
143,1233,7,56
144,1233,62,502
145,1233,43,348
146,1233,19,154
147,755,190,2516
148,755,55,728
149,755,23,304
150,755,112,1483
151,755,336,4450
152,755,119,1576
153,755,63,834
154,755,154,2039
155,755,77,1019
156,755,42,556
157,755,30,397
158,755,5,66
159,755,152,2013
160,755,97,1284
161,755,50,662
162,755,5,66
163,1691,313,1850
