,indicators,geocd,values
0,1147,1142,9956
1,1147,5,43
2,1147,0,0
3,1147,1,8
4,1147,3,26
5,1147,6,52
6,1147,2,17
7,1147,3,26
8,1147,8,69
9,1147,3,26
10,1147,5,43
11,1147,5,43
12,1147,9,78
13,1147,9,78
14,1147,12,104
15,1147,11,95
16,1147,13,113
17,1147,12,104
18,1147,7,61
19,1147,14,122
20,1147,10,87
21,1147,6,52
22,1147,3,26
23,1147,4,34
24,1147,4,34
25,1147,3,26
26,1147,6,52
27,1147,4,34
28,1147,0,0
29,1147,7,61
30,1147,6,52
31,1147,4,34
32,1147,1,8
33,1147,6,52
34,1147,2,17
35,1147,1,8
36,1147,3,26
37,1147,5,43
38,1147,6,52
39,1147,2,17
40,1147,3,26
41,1147,11,95
42,1147,5,43
43,1147,6,52
44,1147,6,52
45,1147,10,87
46,1147,14,122
47,1147,14,122
48,1147,15,130
49,1147,19,165
50,1147,8,69
51,1147,10,87
52,1147,7,61
53,1147,18,156
54,1147,15,130
55,1147,10,87
56,1147,12,104
57,1147,25,217
58,1147,30,261
59,1147,12,104
60,1147,22,191
61,1147,17,148
62,1147,15,130
63,1147,19,165
64,1147,28,244
65,1147,32,278
66,1147,33,287
67,1147,43,374
68,1147,27,235
69,1147,25,217
70,1147,22,191
71,1147,22,191
72,1147,27,235
73,1147,14,122
74,1147,23,200
75,1147,28,244
76,1147,20,174
77,1147,24,209
78,1147,18,156
79,1147,16,139
80,1147,13,113
81,1147,18,156
82,1147,18,156
83,1147,11,95
84,1147,18,156
85,1147,15,130
86,1147,10,87
87,1147,10,87
88,1147,18,156
89,1147,10,87
90,1147,18,156
91,1147,7,61
92,1147,16,139
93,1147,9,78
94,1147,12,104
95,1147,3,26
96,1147,0,0
97,1147,0,0
98,1147,4,34
99,1147,2,17
100,1147,3,26
101,1147,1,8
102,1147,0,0
103,1147,0,0
104,1147,536,4673
105,1147,611,5326
106,19,11,5789
107,19,8,4210
108,1147,1081,9424
109,1147,46,401
110,1147,20,174
111,1033,686,6640
112,1033,636,6156
113,1033,48,464
114,1033,2,19
115,1033,347,3359
116,1033,121,1171
117,1033,16,154
118,1033,14,135
119,1033,40,387
120,1033,156,1510
121,1033,53,513
122,1033,14,135
123,1033,39,377
124,1033,33,319
125,1033,25,242
126,1033,4,38
127,1033,2,19
128,1033,2,19
129,1033,0,0
130,1033,215,2081
131,1033,103,997
132,1033,18,174
133,1033,38,367
134,1033,39,377
135,1033,17,164
136,1033,250,2420
137,1033,28,271
138,1033,203,1965
139,1033,19,183
140,1033,232,2245
141,1033,40,387
142,1033,186,1800
143,1033,6,58
144,1033,250,2420
145,1033,112,1084
146,1033,138,1335
147,577,11,190
148,577,3,51
149,577,5,86
150,577,3,51
151,577,98,1698
152,577,11,190
153,577,29,502
154,577,58,1005
155,577,136,2357
156,577,28,485
157,577,94,1629
158,577,14,242
159,577,332,5753
160,577,152,2634
161,577,177,3067
162,577,3,51
163,1142,194,1698
164,1142,152,1330
165,1142,42,367
166,1142,858,7513
167,1142,222,1943
168,1142,518,4535
169,1142,240,2101
170,1142,75,656
171,1142,133,1164
172,1142,70,612
173,1142,2,17
174,1142,2,17
175,1142,0,0
176,1142,0,0
177,1142,0,0
178,1142,49,429
179,1142,26,227
180,1142,9,78
181,1142,5,43
182,1142,9,78
183,1142,67,586
184,1142,14,122
185,1142,24,210
186,1142,29,253
187,1142,90,788
188,1142,13,113
189,1142,21,183
190,1142,0,0
191,1142,13,113
192,1142,43,376
193,577,194,3362
194,577,152,2634
195,577,42,727
196,577,355,6152
197,577,111,1923
198,577,196,3396
199,577,120,2079
200,577,23,398
201,577,30,519
202,577,23,398
203,577,1,17
204,577,1,17
205,577,0,0
206,577,0,0
207,577,0,0
208,577,20,346
209,577,13,225
210,577,3,51
211,577,1,17
212,577,3,51
213,577,27,467
214,577,6,103
215,577,7,121
216,577,14,242
217,577,28,485
218,577,4,69
219,577,4,69
220,577,0,0
221,577,6,103
222,577,14,242
223,1142,194,1698
224,1142,152,1330
225,1142,42,367
226,1142,948,8301
227,1142,26,227
228,1142,350,3064
229,1142,115,1007
230,1142,184,1611
231,1142,32,280
232,1142,75,656
233,1142,166,1453
234,577,194,3362
235,577,152,2634
236,577,42,727
237,577,383,6637
238,577,9,155
239,577,175,3032
240,577,33,571
241,577,92,1594
242,577,6,103
243,577,16,277
244,577,52,901
245,577,194,3362
246,577,55,953
247,577,263,4558
248,577,0,0
249,577,1,17
250,577,4,69
251,577,20,346
252,577,15,259
253,577,17,294
254,577,0,0
255,577,8,138
256,527,54,1024
257,527,473,8975
258,378,302,7989
259,378,3,79
260,378,8,211
261,378,23,608
262,378,7,185
263,378,12,317
264,378,10,264
265,378,3,79
266,378,8,211
267,378,2,52
268,378,137,3624
269,577,236,4090
270,577,215,3726
271,577,117,2027
272,577,8,138
273,577,1,17
274,1147,1104,9625
275,1147,8,69
276,1147,0,0
277,1147,21,183
278,1147,0,0
279,1147,0,0
280,1147,5,43
281,1147,1,8
282,1147,4,34
283,1147,0,0
284,1147,0,0
285,1147,1,8
286,1147,1,8
287,1147,2,17
288,1147,0,0
289,1147,0,0
290,1147,0,0
291,1147,0,0
292,1147,1133,9877
293,1147,6,52
294,1147,6,52
295,1147,2,17
296,1147,0,0
297,577,194,3362
298,577,357,6187
299,577,1,17
300,577,24,415
301,577,1,17
302,1147,1118,9747
303,1147,1095,9546
304,1147,1058,9224
305,1147,9,78
306,1147,14,122
307,1147,14,122
308,1147,0,0
309,1147,0,0
310,1147,0,0
311,1147,1,8
312,1147,0,0
313,1147,0,0
314,1147,5,43
315,1147,17,148
316,1147,7,61
317,1147,1,8
318,1147,2,17
319,1147,2,17
320,1147,0,0
321,1147,0,0
322,1147,4,34
323,1147,0,0
324,1147,0,0
325,1147,2,17
326,1147,1,8
327,1147,1,8
328,1147,0,0
329,1147,14,122
330,1147,1,8
331,1147,1,8
332,1147,0,0
333,1147,3,26
334,1147,0,0
335,1147,3,26
336,1147,0,0
337,1147,5,43
338,1147,0,0
339,1147,5,43
340,1147,0,0
341,1147,0,0
342,1147,0,0
343,1147,5,43
344,1147,1,8
345,1147,4,34
346,1147,0,0
347,1147,6,52
348,1147,4,34
349,1147,0,0
350,1147,4,34
351,1147,0,0
352,1147,1,8
353,1147,1,8
354,1147,0,0
355,1147,1,8
356,1147,2,17
357,1147,0,0
358,1147,2,17
359,1147,2,17
360,1147,0,0
361,1147,0,0
362,1147,0,0
363,1137,1124,9885
364,1137,0,0
365,1137,0,0
366,1137,0,0
367,1137,0,0
368,1137,0,0
369,1137,0,0
370,1137,0,0
371,1137,0,0
372,1137,0,0
373,1137,1,8
374,1137,0,0
375,1137,1,8
376,1137,7,61
377,1137,0,0
378,1137,1,8
379,1137,5,43
380,1137,0,0
381,1137,0,0
382,1137,0,0
383,1137,0,0
384,1137,0,0
385,1137,0,0
386,1137,0,0
387,1137,0,0
388,1137,0,0
389,1137,0,0
390,1137,1,8
391,1137,0,0
392,1137,0,0
393,1137,0,0
394,1137,0,0
395,1137,0,0
396,1137,1,8
397,1137,0,0
398,1137,0,0
399,1137,0,0
400,1137,0,0
401,1137,1,8
402,1137,0,0
403,1137,0,0
404,1137,0,0
405,1137,0,0
406,1137,0,0
407,1137,1,8
408,1137,1,8
409,1137,0,0
410,1137,0,0
411,1137,0,0
412,1137,0,0
413,1137,1,8
414,1137,0,0
415,1137,0,0
416,1137,0,0
417,1137,0,0
418,1137,0,0
419,1137,0,0
420,1137,0,0
421,1137,0,0
422,1137,0,0
423,1137,0,0
424,1137,0,0
425,1137,0,0
426,1137,0,0
427,1137,0,0
428,1137,1,8
429,1137,0,0
430,1137,0,0
431,1137,0,0
432,1137,0,0
433,1137,0,0
434,1137,0,0
435,1137,0,0
436,1137,0,0
437,1137,1,8
438,1137,0,0
439,1137,0,0
440,1137,0,0
441,1137,0,0
442,1137,0,0
443,1137,0,0
444,1137,0,0
445,1137,0,0
446,1137,0,0
447,1137,0,0
448,1137,0,0
449,1137,0,0
450,1137,0,0
451,1137,0,0
452,1137,0,0
453,1137,0,0
454,1137,0,0
455,1137,0,0
456,1137,0,0
457,1137,0,0
458,1137,0,0
459,1137,0,0
460,1137,0,0
461,1137,0,0
462,1137,0,0
463,1137,0,0
464,1137,0,0
465,1137,1124,9885
466,1137,11,96
467,1137,2,17
468,1137,0,0
469,1137,0,0
470,1147,867,7558
471,1147,4,34
472,1147,0,0
473,1147,3,26
474,1147,2,17
475,1147,0,0
476,1147,2,17
477,1147,194,1691
478,1147,75,653
479,1147,867,7558
480,1147,4,34
481,1147,0,0
482,1147,3,26
483,1147,2,17
484,1147,0,0
485,1147,2,17
486,1147,0,0
487,1147,0,0
488,1147,0,0
489,1147,0,0
490,1147,0,0
491,1147,0,0
492,1147,0,0
493,1147,0,0
494,1147,0,0
495,1147,0,0
496,1147,0,0
497,1147,0,0
498,1147,0,0
499,1147,0,0
500,1147,0,0
501,1147,0,0
502,1147,0,0
503,1147,0,0
504,1147,0,0
505,1147,1,8
506,1147,0,0
507,1147,0,0
508,1147,0,0
509,1147,0,0
510,1147,0,0
511,1147,0,0
512,1147,0,0
513,1147,0,0
514,1147,0,0
515,1147,0,0
516,1147,0,0
517,1147,0,0
518,1147,0,0
519,1147,0,0
520,1147,0,0
521,1147,0,0
522,1147,0,0
523,1147,1,8
524,1147,0,0
525,1147,0,0
526,1147,0,0
527,1147,194,1691
528,1147,191,1665
529,1147,1,8
530,1147,0,0
531,1147,0,0
532,1147,0,0
533,1147,0,0
534,1147,2,17
535,1147,0,0
536,1147,75,653
537,1147,1104,9625
538,1147,8,69
539,1147,0,0
540,1147,0,0
541,1147,0,0
542,1147,0,0
543,1147,0,0
544,1147,0,0
545,1147,0,0
546,1147,0,0
547,1147,0,0
548,1147,0,0
549,1147,0,0
550,1147,0,0
551,1147,0,0
552,1147,0,0
553,1147,0,0
554,1147,0,0
555,1147,0,0
556,1147,0,0
557,1147,1,8
558,1147,0,0
559,1147,0,0
560,1147,0,0
561,1147,0,0
562,1147,0,0
563,1147,0,0
564,1147,0,0
565,1147,0,0
566,1147,0,0
567,1147,0,0
568,1147,0,0
569,1147,0,0
570,1147,0,0
571,1147,0,0
572,1147,0,0
573,1147,0,0
574,1147,0,0
575,1147,0,0
576,1147,1,8
577,1147,0,0
578,1147,0,0
579,1147,5,43
580,1147,0,0
581,1147,6,52
582,1147,0,0
583,1147,0,0
584,1147,0,0
585,1147,0,0
586,1147,0,0
587,1147,0,0
588,1147,2,17
589,1147,0,0
590,1147,0,0
591,1147,0,0
592,1147,0,0
593,1147,0,0
594,1147,0,0
595,1147,6,52
596,1147,0,0
597,1147,0,0
598,1147,5,43
599,1147,0,0
600,1147,0,0
601,1147,0,0
602,1147,0,0
603,1147,0,0
604,1147,0,0
605,1147,0,0
606,1147,0,0
607,1147,0,0
608,1147,0,0
609,1147,0,0
610,1147,0,0
611,1147,0,0
612,1147,0,0
613,1147,0,0
614,1147,0,0
615,1147,0,0
616,1147,0,0
617,1147,0,0
618,1147,0,0
619,1147,0,0
620,1147,0,0
621,1147,0,0
622,1147,0,0
623,1147,0,0
624,1147,0,0
625,1147,0,0
626,1147,0,0
627,1147,0,0
628,1147,0,0
629,1147,0,0
630,1147,0,0
631,1147,0,0
632,1147,0,0
633,1147,0,0
634,1147,0,0
635,1147,0,0
636,1147,0,0
637,1147,0,0
638,1147,0,0
639,1147,0,0
640,1147,0,0
641,1147,0,0
642,1147,0,0
643,1147,0,0
644,1147,0,0
645,1147,0,0
646,1147,0,0
647,1147,0,0
648,1147,0,0
649,1147,0,0
650,1147,0,0
651,1147,0,0
652,1147,0,0
653,1147,0,0
654,1147,0,0
655,1147,0,0
656,1147,0,0
657,1147,0,0
658,1147,0,0
659,1147,0,0
660,1147,0,0
661,1147,0,0
662,1147,0,0
663,1147,0,0
664,1147,0,0
665,1147,0,0
666,1147,1,8
667,1147,4,34
668,1147,0,0
669,1147,0,0
670,1147,1,8
671,1147,0,0
672,1147,0,0
673,1147,0,0
674,1147,0,0
675,1147,0,0
676,1147,0,0
677,1147,0,0
678,1147,0,0
679,1147,0,0
680,1147,1,8
681,1147,0,0
682,1147,0,0
683,1147,0,0
684,1147,0,0
685,1147,0,0
686,1147,0,0
687,1147,0,0
688,1147,0,0
689,1147,0,0
690,1147,0,0
691,1147,0,0
692,1147,0,0
693,1147,0,0
694,1147,0,0
695,1147,0,0
696,1147,0,0
697,1147,0,0
698,1147,0,0
699,1147,0,0
700,1147,0,0
701,1147,0,0
702,1147,0,0
703,1147,0,0
704,1147,0,0
705,1147,0,0
706,1147,0,0
707,1147,0,0
708,1147,2,17
709,1147,0,0
710,1147,0,0
711,1147,0,0
712,1147,0,0
713,1147,0,0
714,1147,0,0
715,1147,0,0
716,1147,0,0
717,1147,0,0
718,1147,0,0
719,1147,0,0
720,1147,0,0
721,1147,0,0
722,1147,0,0
723,1147,0,0
724,1147,0,0
725,1147,0,0
726,1147,0,0
727,1147,0,0
728,1147,0,0
729,1147,0,0
730,1147,0,0
731,1147,0,0
732,1147,0,0
733,1147,0,0
734,1147,0,0
735,1147,0,0
736,1147,0,0
737,1147,0,0
738,1147,0,0
739,1147,0,0
740,1147,0,0
741,1147,0,0
742,1147,0,0
743,1147,0,0
744,1147,0,0
745,1147,0,0
746,1147,0,0
747,1147,0,0
748,1147,0,0
749,1147,0,0
750,1147,0,0
751,1147,0,0
752,1147,0,0
753,1147,0,0
754,1147,0,0
755,1147,0,0
756,1147,0,0
757,1147,0,0
758,1147,0,0
759,1147,0,0
760,1147,0,0
761,1147,0,0
762,1147,0,0
763,1147,0,0
764,1147,0,0
765,1147,0,0
766,1147,0,0
767,1147,0,0
768,1147,0,0
769,1147,0,0
770,1147,0,0
771,1147,0,0
772,1147,0,0
773,1147,0,0
774,1147,0,0
775,1147,0,0
776,1147,0,0
777,1147,0,0
778,1147,0,0
779,1147,0,0
780,1147,0,0
781,1147,0,0
782,1147,0,0
783,1147,0,0
784,1147,0,0
785,1147,0,0
786,1147,0,0
787,1147,956,8334
788,1147,121,1054
789,1147,26,226
790,1147,44,383
791,1147,441,3844
792,1147,418,3644
793,1147,219,1909
794,1147,56,488
795,1147,13,113
796,1147,138,1203
797,1147,194,1691
798,1147,815,7105
799,1142,1142,10000
800,1142,1122,9824
801,1142,1004,8791
802,1142,94,823
803,1142,24,210
804,1142,20,175
805,1142,8,70
806,1142,12,105
807,1142,0,0
808,1142,0,0
809,1142,0,0
810,577,577,10000
811,577,565,9792
812,577,503,8717
