,indicators,geocd,values
0,1527,1527,10000
1,1527,0,0
2,1527,0,0
3,1527,21,137
4,1527,10,65
5,1527,19,124
6,1527,13,85
7,1527,15,98
8,1527,11,72
9,1527,20,130
10,1527,13,85
11,1527,8,52
12,1527,14,91
13,1527,19,124
14,1527,16,104
15,1527,17,111
16,1527,14,91
17,1527,18,117
18,1527,24,157
19,1527,17,111
20,1527,22,144
21,1527,25,163
22,1527,14,91
23,1527,17,111
24,1527,13,85
25,1527,8,52
26,1527,20,130
27,1527,16,104
28,1527,20,130
29,1527,15,98
30,1527,16,104
31,1527,11,72
32,1527,12,78
33,1527,13,85
34,1527,11,72
35,1527,12,78
36,1527,15,98
37,1527,17,111
38,1527,14,91
39,1527,9,58
40,1527,20,130
41,1527,22,144
42,1527,7,45
43,1527,27,176
44,1527,18,117
45,1527,19,124
46,1527,18,117
47,1527,26,170
48,1527,20,130
49,1527,18,117
50,1527,24,157
51,1527,22,144
52,1527,29,189
53,1527,24,157
54,1527,21,137
55,1527,26,170
56,1527,20,130
57,1527,23,150
58,1527,17,111
59,1527,15,98
60,1527,19,124
61,1527,22,144
62,1527,26,170
63,1527,22,144
64,1527,21,137
65,1527,20,130
66,1527,20,130
67,1527,27,176
68,1527,15,98
69,1527,22,144
70,1527,13,85
71,1527,25,163
72,1527,18,117
73,1527,12,78
74,1527,13,85
75,1527,15,98
76,1527,15,98
77,1527,18,117
78,1527,11,72
79,1527,14,91
80,1527,21,137
81,1527,16,104
82,1527,12,78
83,1527,14,91
84,1527,17,111
85,1527,10,65
86,1527,13,85
87,1527,7,45
88,1527,14,91
89,1527,10,65
90,1527,6,39
91,1527,5,32
92,1527,9,58
93,1527,5,32
94,1527,5,32
95,1527,0,0
96,1527,3,19
97,1527,1,6
98,1527,1,6
99,1527,2,13
100,1527,2,13
101,1527,1,6
102,1527,0,0
103,1527,0,0
104,1527,733,4800
105,1527,794,5199
106,16,6,3750
107,16,10,6250
108,1527,1486,9731
109,1527,29,189
110,1527,12,78
111,1275,680,5333
112,1275,540,4235
113,1275,124,972
114,1275,16,125
115,1275,595,4666
116,1275,296,2321
117,1275,13,101
118,1275,18,141
119,1275,103,807
120,1275,165,1294
121,1275,152,1192
122,1275,58,454
123,1275,94,737
124,1275,142,1113
125,1275,69,541
126,1275,53,415
127,1275,9,70
128,1275,7,54
129,1275,4,31
130,1275,407,3192
131,1275,196,1537
132,1275,42,329
133,1275,87,682
134,1275,52,407
135,1275,30,235
136,1275,209,1639
137,1275,56,439
138,1275,135,1058
139,1275,18,141
140,1275,166,1301
141,1275,53,415
142,1275,111,870
143,1275,2,15
144,1275,199,1560
145,1275,99,776
146,1275,100,784
147,697,59,846
148,697,9,129
149,697,12,172
150,697,38,545
151,697,232,3328
152,697,40,573
153,697,68,975
154,697,124,1779
155,697,135,1936
156,697,56,803
157,697,67,961
158,697,12,172
159,697,271,3888
160,697,152,2180
161,697,119,1707
162,697,0,0
163,1527,257,1683
164,1527,152,995
165,1527,105,687
166,1527,1188,7779
167,1527,140,916
168,1527,636,4165
169,1527,126,825
170,1527,127,831
171,1527,237,1552
172,1527,146,956
173,1527,0,0
174,1527,0,0
175,1527,0,0
176,1527,0,0
177,1527,0,0
178,1527,192,1257
179,1527,60,392
180,1527,45,294
181,1527,75,491
182,1527,12,78
183,1527,220,1440
184,1527,45,294
185,1527,88,576
186,1527,87,569
187,1527,82,537
188,1527,14,91
189,1527,19,124
190,1527,0,0
191,1527,6,39
192,1527,43,281
193,697,257,3687
194,697,152,2180
195,697,105,1506
196,697,414,5939
197,697,70,1004
198,697,197,2826
199,697,63,903
200,697,38,545
201,697,55,789
202,697,41,588
203,697,0,0
204,697,0,0
205,697,0,0
206,697,0,0
207,697,0,0
208,697,65,932
209,697,30,430
210,697,14,200
211,697,17,243
212,697,4,57
213,697,82,1176
214,697,17,243
215,697,25,358
216,697,40,573
217,697,26,373
218,697,4,57
219,697,4,57
220,697,0,0
221,697,3,43
222,697,15,215
223,1527,257,1683
224,1527,152,995
225,1527,105,687
226,1527,1270,8316
227,1527,68,445
228,1527,228,1493
229,1527,303,1984
230,1527,186,1218
231,1527,55,360
232,1527,134,877
233,1527,296,1938
234,697,257,3687
235,697,152,2180
236,697,105,1506
237,697,440,6312
238,697,22,315
239,697,114,1635
240,697,86,1233
241,697,93,1334
242,697,11,157
243,697,29,416
244,697,85,1219
245,697,257,3687
246,697,96,1377
247,697,174,2496
248,697,0,0
249,697,0,0
250,697,32,459
251,697,38,545
252,697,44,631
253,697,44,631
254,697,0,0
255,697,12,172
256,871,145,1664
257,871,726,8335
258,429,256,5967
259,429,21,489
260,429,14,326
261,429,38,885
262,429,22,512
263,429,34,792
264,429,20,466
265,429,13,303
266,429,10,233
267,429,1,23
268,429,306,7132
269,697,207,2969
270,697,213,3055
271,697,215,3084
272,697,56,803
273,697,6,86
274,1527,1428,9351
275,1527,8,52
276,1527,0,0
277,1527,27,176
278,1527,8,52
279,1527,1,6
280,1527,4,26
281,1527,7,45
282,1527,4,26
283,1527,2,13
284,1527,0,0
285,1527,0,0
286,1527,30,196
287,1527,5,32
288,1527,1,6
289,1527,1,6
290,1527,1,6
291,1527,0,0
292,1527,1463,9580
293,1527,20,130
294,1527,36,235
295,1527,7,45
296,1527,1,6
297,697,257,3687
298,697,412,5911
299,697,5,71
300,697,22,315
301,697,1,14
302,1527,1458,9548
303,1527,1429,9358
304,1527,291,1905
305,1527,4,26
306,1527,12,78
307,1527,1122,7347
308,1527,0,0
309,1527,0,0
