,indicators,geocd,values
0,1398,1398,10000
1,1398,0,0
2,1398,0,0
3,1398,17,121
4,1398,4,28
5,1398,11,78
6,1398,10,71
7,1398,7,50
8,1398,9,64
9,1398,12,85
10,1398,9,64
11,1398,13,92
12,1398,12,85
13,1398,11,78
14,1398,13,92
15,1398,17,121
16,1398,9,64
17,1398,13,92
18,1398,15,107
19,1398,12,85
20,1398,18,128
21,1398,14,100
22,1398,17,121
23,1398,18,128
24,1398,9,64
25,1398,18,128
26,1398,10,71
27,1398,11,78
28,1398,15,107
29,1398,11,78
30,1398,5,35
31,1398,6,42
32,1398,11,78
33,1398,20,143
34,1398,14,100
35,1398,18,128
36,1398,13,92
37,1398,18,128
38,1398,13,92
39,1398,16,114
40,1398,10,71
41,1398,6,42
42,1398,17,121
43,1398,16,114
44,1398,14,100
45,1398,18,128
46,1398,16,114
47,1398,20,143
48,1398,16,114
49,1398,20,143
50,1398,19,135
51,1398,27,193
52,1398,25,178
53,1398,24,171
54,1398,25,178
55,1398,19,135
56,1398,18,128
57,1398,13,92
58,1398,19,135
59,1398,18,128
60,1398,22,157
61,1398,17,121
62,1398,19,135
63,1398,28,200
64,1398,20,143
65,1398,23,164
66,1398,27,193
67,1398,30,214
68,1398,20,143
69,1398,30,214
70,1398,20,143
71,1398,22,157
72,1398,17,121
73,1398,29,207
74,1398,25,178
75,1398,21,150
76,1398,18,128
77,1398,22,157
78,1398,20,143
79,1398,16,114
80,1398,13,92
81,1398,8,57
82,1398,18,128
83,1398,9,64
84,1398,15,107
85,1398,8,57
86,1398,10,71
87,1398,5,35
88,1398,12,85
89,1398,6,42
90,1398,8,57
91,1398,1,7
92,1398,6,42
93,1398,2,14
94,1398,2,14
95,1398,0,0
96,1398,0,0
97,1398,0,0
98,1398,0,0
99,1398,0,0
100,1398,0,0
101,1398,0,0
102,1398,0,0
103,1398,0,0
104,1398,676,4835
105,1398,722,5164
106,13,3,2307
107,13,10,7692
108,1398,1370,9799
109,1398,20,143
110,1398,8,57
111,1216,774,6365
112,1216,674,5542
113,1216,96,789
114,1216,4,32
115,1216,442,3634
116,1216,237,1949
117,1216,9,74
118,1216,25,205
119,1216,56,460
120,1216,115,945
121,1216,127,1044
122,1216,66,542
123,1216,61,501
124,1216,131,1077
125,1216,67,550
126,1216,38,312
127,1216,16,131
128,1216,9,74
129,1216,1,8
130,1216,352,2894
131,1216,198,1628
132,1216,36,296
133,1216,52,427
134,1216,46,378
135,1216,20,164
136,1216,223,1833
137,1216,26,213
138,1216,188,1546
139,1216,9,74
140,1216,224,1842
141,1216,48,394
142,1216,170,1398
143,1216,6,49
144,1216,159,1307
145,1216,70,575
146,1216,89,731
147,631,50,792
148,631,9,142
149,631,10,158
150,631,31,491
151,631,200,3169
152,631,28,443
153,631,81,1283
154,631,91,1442
155,631,122,1933
156,631,26,412
157,631,92,1458
158,631,4,63
159,631,259,4104
160,631,118,1870
161,631,139,2202
162,631,2,31
163,1398,181,1294
164,1398,118,844
165,1398,63,450
166,1398,1151,8233
167,1398,192,1373
168,1398,700,5007
169,1398,198,1416
170,1398,95,679
171,1398,203,1452
172,1398,204,1459
173,1398,0,0
174,1398,0,0
175,1398,0,0
176,1398,0,0
177,1398,0,0
178,1398,123,879
179,1398,44,314
180,1398,25,178
181,1398,38,271
182,1398,16,114
183,1398,136,972
184,1398,40,286
185,1398,32,228
186,1398,64,457
187,1398,66,472
188,1398,35,250
189,1398,10,71
190,1398,0,0
191,1398,2,14
192,1398,19,135
193,631,181,2868
194,631,118,1870
195,631,63,998
196,631,432,6846
197,631,96,1521
198,631,235,3724
199,631,99,1568
200,631,28,443
201,631,46,729
202,631,62,982
203,631,0,0
204,631,0,0
205,631,0,0
206,631,0,0
207,631,0,0
208,631,44,697
209,631,22,348
210,631,8,126
211,631,9,142
212,631,5,79
213,631,57,903
214,631,18,285
215,631,9,142
216,631,30,475
217,631,18,285
218,631,8,126
219,631,2,31
220,631,0,0
221,631,1,15
222,631,7,110
223,1398,181,1294
224,1398,118,844
225,1398,63,450
226,1398,1217,8705
227,1398,36,257
228,1398,264,1888
229,1398,223,1595
230,1398,234,1673
231,1398,48,343
232,1398,128,915
233,1398,284,2031
234,631,181,2868
235,631,118,1870
236,631,63,998
237,631,450,7131
238,631,16,253
239,631,132,2091
240,631,63,998
241,631,117,1854
242,631,9,142
243,631,27,427
244,631,86,1362
245,631,181,2868
246,631,77,1220
247,631,258,4088
248,631,0,0
249,631,0,0
250,631,17,269
251,631,33,522
252,631,30,475
253,631,31,491
254,631,0,0
255,631,4,63
256,803,85,1058
257,803,718,8941
258,452,324,7168
259,452,21,464
260,452,16,353
261,452,25,553
262,452,14,309
263,452,24,530
264,452,15,331
265,452,7,154
266,452,6,132
267,452,0,0
268,452,211,4668
269,631,268,4247
270,631,213,3375
271,631,132,2091
272,631,18,285
273,631,0,0
274,1398,1359,9721
275,1398,4,28
276,1398,0,0
277,1398,4,28
278,1398,0,0
279,1398,0,0
280,1398,5,35
281,1398,1,7
282,1398,4,28
283,1398,18,128
284,1398,0,0
285,1398,2,14
286,1398,0,0
287,1398,0,0
288,1398,0,0
289,1398,0,0
290,1398,1,7
291,1398,0,0
292,1398,1367,9778
