,indicators,geocd,values
0,1470,1470,10000
1,1470,0,0
2,1470,0,0
3,1470,12,81
4,1470,13,88
5,1470,6,40
6,1470,13,88
7,1470,13,88
8,1470,17,115
9,1470,14,95
10,1470,15,102
11,1470,13,88
12,1470,19,129
13,1470,14,95
14,1470,15,102
15,1470,16,108
16,1470,10,68
17,1470,20,136
18,1470,22,149
19,1470,18,122
20,1470,19,129
21,1470,18,122
22,1470,11,74
23,1470,12,81
24,1470,20,136
25,1470,10,68
26,1470,19,129
27,1470,17,115
28,1470,11,74
29,1470,6,40
30,1470,5,34
31,1470,13,88
32,1470,15,102
33,1470,8,54
34,1470,11,74
35,1470,5,34
36,1470,14,95
37,1470,11,74
38,1470,14,95
39,1470,11,74
40,1470,9,61
41,1470,10,68
42,1470,18,122
43,1470,17,115
44,1470,18,122
45,1470,23,156
46,1470,19,129
47,1470,23,156
48,1470,26,176
49,1470,17,115
50,1470,20,136
51,1470,20,136
52,1470,20,136
53,1470,30,204
54,1470,29,197
55,1470,24,163
56,1470,28,190
57,1470,21,142
58,1470,30,204
59,1470,22,149
60,1470,20,136
61,1470,23,156
62,1470,24,163
63,1470,22,149
64,1470,24,163
65,1470,30,204
66,1470,29,197
67,1470,21,142
68,1470,13,88
69,1470,21,142
70,1470,15,102
71,1470,28,190
72,1470,19,129
73,1470,16,108
74,1470,21,142
75,1470,23,156
76,1470,15,102
77,1470,15,102
78,1470,24,163
79,1470,13,88
80,1470,18,122
81,1470,11,74
82,1470,12,81
83,1470,15,102
84,1470,4,27
85,1470,12,81
86,1470,6,40
87,1470,10,68
88,1470,4,27
89,1470,9,61
90,1470,5,34
91,1470,2,13
92,1470,10,68
93,1470,8,54
94,1470,0,0
95,1470,1,6
96,1470,2,13
97,1470,0,0
98,1470,0,0
99,1470,1,6
100,1470,0,0
101,1470,0,0
102,1470,0,0
103,1470,0,0
104,1470,715,4863
105,1470,755,5136
106,18,8,4444
107,18,10,5555
108,1470,1419,9653
109,1470,42,285
110,1470,9,61
111,1238,808,6526
112,1238,682,5508
113,1238,122,985
114,1238,4,32
115,1238,430,3473
116,1238,247,1995
117,1238,9,72
118,1238,17,137
119,1238,58,468
120,1238,99,799
121,1238,144,1163
122,1238,60,484
123,1238,84,678
124,1238,99,799
125,1238,52,420
126,1238,28,226
127,1238,19,153
