,indicators,geocd,values
0,1664,1664,10000
1,1664,0,0
2,1664,0,0
3,1664,17,102
4,1664,23,138
5,1664,24,144
6,1664,23,138
7,1664,15,90
8,1664,26,156
9,1664,25,150
10,1664,19,114
11,1664,20,120
12,1664,23,138
13,1664,22,132
14,1664,13,78
15,1664,25,150
16,1664,24,144
17,1664,21,126
18,1664,22,132
19,1664,24,144
20,1664,25,150
21,1664,22,132
22,1664,19,114
23,1664,19,114
24,1664,12,72
25,1664,19,114
26,1664,12,72
27,1664,16,96
28,1664,14,84
29,1664,13,78
30,1664,10,60
31,1664,12,72
32,1664,12,72
33,1664,18,108
34,1664,9,54
35,1664,14,84
36,1664,10,60
37,1664,15,90
38,1664,28,168
39,1664,13,78
40,1664,16,96
41,1664,22,132
42,1664,41,246
43,1664,24,144
44,1664,25,150
45,1664,25,150
46,1664,26,156
47,1664,27,162
48,1664,43,258
49,1664,32,192
50,1664,27,162
51,1664,25,150
52,1664,31,186
53,1664,30,180
54,1664,26,156
55,1664,27,162
56,1664,25,150
57,1664,23,138
58,1664,19,114
59,1664,22,132
60,1664,20,120
61,1664,18,108
62,1664,18,108
63,1664,22,132
64,1664,25,150
65,1664,28,168
66,1664,24,144
67,1664,29,174
68,1664,13,78
69,1664,19,114
70,1664,21,126
71,1664,24,144
72,1664,18,108
73,1664,8,48
74,1664,9,54
75,1664,19,114
76,1664,16,96
77,1664,21,126
78,1664,12,72
79,1664,7,42
80,1664,6,36
81,1664,12,72
82,1664,5,30
83,1664,9,54
84,1664,3,18
85,1664,4,24
86,1664,1,6
87,1664,6,36
88,1664,11,66
89,1664,3,18
90,1664,4,24
91,1664,6,36
92,1664,0,0
93,1664,3,18
94,1664,3,18
95,1664,1,6
96,1664,1,6
97,1664,1,6
98,1664,0,0
99,1664,0,0
100,1664,0,0
101,1664,0,0
102,1664,0,0
103,1664,0,0
104,1664,805,4837
105,1664,859,5162
106,25,12,4800
107,25,13,5200
108,1664,1587,9537
109,1664,45,270
110,1664,32,192
111,1322,884,6686
112,1322,740,5597
113,1322,136,1028
114,1322,8,60
115,1322,438,3313
116,1322,271,2049
117,1322,12,90
118,1322,21,158
119,1322,65,491
120,1322,69,521
121,1322,168,1270
122,1322,74,559
123,1322,94,711
124,1322,127,960
125,1322,83,627
126,1322,31,234
127,1322,7,52
128,1322,4,30
129,1322,2,15
130,1322,536,4054
131,1322,200,1512
132,1322,113,854
133,1322,103,779
134,1322,82,620
135,1322,38,287
136,1322,225,1701
137,1322,19,143
138,1322,181,1369
139,1322,25,189
140,1322,168,1270
141,1322,35,264
142,1322,128,968
143,1322,5,37
144,1322,98,741
145,1322,37,279
146,1322,61,461
147,640,54,843
148,640,11,171
149,640,18,281
150,640,25,390
151,640,282,4406
152,640,38,593
153,640,73,1140
154,640,171,2671
155,640,128,2000
156,640,19,296
157,640,92,1437
158,640,17,265
159,640,176,2750
160,640,72,1125
161,640,101,1578
162,640,3,46
163,1664,140,841
164,1664,72,432
165,1664,68,408
166,1664,1405,8443
167,1664,128,769
168,1664,972,5841
169,1664,192,1153
170,1664,155,931
171,1664,452,2716
172,1664,173,1039
173,1664,0,0
174,1664,0,0
175,1664,0,0
176,1664,0,0
177,1664,0,0
178,1664,186,1117
179,1664,54,324
180,1664,44,264
181,1664,73,438
182,1664,15,90
183,1664,119,715
184,1664,28,168
185,1664,52,312
186,1664,39,234
187,1664,119,715
188,1664,22,132
189,1664,23,138
190,1664,0,0
191,1664,5,30
192,1664,69,414
193,640,140,2187
194,640,72,1125
195,640,68,1062
196,640,466,7281
197,640,64,1000
198,640,294,4593
