,indicators,geocd,values
0,1579,1571,9949
1,1579,8,50
2,1579,0,0
3,1579,25,158
4,1579,24,151
5,1579,18,113
6,1579,17,107
7,1579,21,132
8,1579,20,126
9,1579,21,132
10,1579,15,94
11,1579,21,132
12,1579,16,101
13,1579,25,158
14,1579,25,158
15,1579,28,177
16,1579,11,69
17,1579,24,151
18,1579,24,151
19,1579,24,151
20,1579,33,208
21,1579,25,158
22,1579,34,215
23,1579,25,158
24,1579,27,170
25,1579,20,126
26,1579,21,132
27,1579,16,101
28,1579,29,183
29,1579,26,164
30,1579,19,120
31,1579,36,227
32,1579,18,113
33,1579,23,145
34,1579,20,126
35,1579,17,107
36,1579,17,107
37,1579,16,101
38,1579,24,151
39,1579,21,132
40,1579,13,82
41,1579,15,94
42,1579,27,170
43,1579,23,145
44,1579,21,132
45,1579,25,158
46,1579,24,151
47,1579,22,139
48,1579,31,196
49,1579,16,101
50,1579,18,113
51,1579,28,177
52,1579,27,170
53,1579,16,101
54,1579,13,82
55,1579,25,158
56,1579,22,139
57,1579,11,69
58,1579,19,120
59,1579,19,120
60,1579,14,88
61,1579,15,94
62,1579,20,126
63,1579,16,101
64,1579,15,94
65,1579,14,88
66,1579,14,88
67,1579,19,120
68,1579,14,88
69,1579,19,120
70,1579,16,101
71,1579,12,75
72,1579,9,56
73,1579,12,75
74,1579,9,56
75,1579,6,37
76,1579,7,44
77,1579,11,69
78,1579,10,63
79,1579,6,37
80,1579,7,44
81,1579,11,69
82,1579,6,37
83,1579,9,56
84,1579,10,63
85,1579,5,31
86,1579,11,69
87,1579,6,37
88,1579,3,18
89,1579,2,12
90,1579,0,0
91,1579,5,31
92,1579,1,6
93,1579,3,18
94,1579,0,0
95,1579,0,0
96,1579,0,0
97,1579,0,0
98,1579,0,0
99,1579,1,6
100,1579,0,0
101,1579,0,0
102,1579,0,0
103,1579,0,0
104,1579,724,4585
105,1579,855,5414
106,9,3,3333
107,9,6,6666
108,1579,1543,9772
109,1579,24,151
110,1579,12,75
111,1236,646,5226
112,1236,522,4223
113,1236,122,987
114,1236,2,16
115,1236,590,4773
116,1236,396,3203
117,1236,18,145
118,1236,33,266
119,1236,61,493
120,1236,82,663
121,1236,225,1820
122,1236,81,655
123,1236,144,1165
124,1236,221,1788
125,1236,106,857
126,1236,78,631
127,1236,25,202
128,1236,10,80
129,1236,2,16
130,1236,422,3414
131,1236,169,1367
132,1236,75,606
133,1236,56,453
134,1236,77,622
135,1236,45,364
136,1236,161,1302
137,1236,15,121
138,1236,119,962
139,1236,27,218
140,1236,114,922
141,1236,26,210
142,1236,78,631
143,1236,10,80
144,1236,93,752
145,1236,44,355
146,1236,49,396
147,576,99,1718
148,576,16,277
149,576,19,329
150,576,64,1111
151,576,243,4218
152,576,36,625
153,576,64,1111
154,576,143,2482
155,576,95,1649
156,576,15,260
157,576,64,1111
158,576,16,277
159,576,139,2413
160,576,70,1215
161,576,66,1145
162,576,3,52
163,1571,137,872
164,1571,70,445
165,1571,67,426
166,1571,1159,7377
167,1571,70,445
168,1571,634,4035
169,1571,110,700
170,1571,153,973
171,1571,209,1330
172,1571,162,1031
173,1571,0,0
174,1571,0,0
175,1571,0,0
176,1571,0,0
177,1571,0,0
178,1571,176,1120
179,1571,28,178
180,1571,46,292
181,1571,79,502
182,1571,23,146
183,1571,279,1775
184,1571,97,617
185,1571,113,719
186,1571,69,439
187,1571,275,1750
188,1571,66,420
189,1571,124,789
190,1571,0,0
191,1571,4,25
192,1571,81,515
193,576,137,2378
194,576,70,1215
195,576,67,1163
196,576,378,6562
197,576,35,607
198,576,189,3281
199,576,55,954
200,576,42,729
201,576,44,763
202,576,48,833
203,576,0,0
204,576,0,0
205,576,0,0
206,576,0,0
207,576,0,0
208,576,54,937
209,576,14,243
210,576,15,260
211,576,18,312
212,576,7,121
213,576,100,1736
214,576,38,659
215,576,31,538
216,576,31,538
217,576,61,1059
218,576,16,277
219,576,22,381
220,576,0,0
221,576,2,34
222,576,21,364
223,1571,137,872
224,1571,70,445
225,1571,67,426
226,1571,1434,9127
227,1571,123,782
228,1571,118,751
229,1571,265,1686
230,1571,158,1005
231,1571,59,375
232,1571,334,2126
233,1571,377,2399
234,576,137,2378
235,576,70,1215
236,576,67,1163
237,576,439,7621
238,576,44,763
239,576,59,1024
240,576,76,1319
241,576,79,1371
242,576,11,190
243,576,66,1145
244,576,104,1805
245,576,137,2378
246,576,101,1753
247,576,157,2725
248,576,0,0
249,576,0,0
250,576,35,607
251,576,22,381
252,576,81,1406
253,576,34,590
254,576,0,0
255,576,9,156
256,972,119,1224
257,972,853,8775
258,452,220,4867
259,452,37,818
260,452,30,663
261,452,56,1238
262,452,31,685
263,452,25,553
264,452,18,398
265,452,15,331
266,452,17,376
267,452,3,66
268,452,397,8783
269,576,152,2638
270,576,202,3506
271,576,170,2951
