,indicators,geocd,values
0,1577,1577,10000
1,1577,0,0
2,1577,0,0
3,1577,50,317
4,1577,45,285
5,1577,31,196
6,1577,43,272
7,1577,40,253
8,1577,30,190
9,1577,33,209
10,1577,29,183
11,1577,22,139
12,1577,20,126
13,1577,27,171
14,1577,34,215
15,1577,19,120
16,1577,21,133
17,1577,22,139
18,1577,20,126
19,1577,16,101
20,1577,13,82
21,1577,17,107
22,1577,19,120
23,1577,10,63
24,1577,26,164
25,1577,11,69
26,1577,20,126
27,1577,16,101
28,1577,20,126
29,1577,24,152
30,1577,30,190
31,1577,39,247
32,1577,35,221
33,1577,48,304
34,1577,47,298
35,1577,52,329
36,1577,42,266
37,1577,34,215
38,1577,34,215
39,1577,44,279
40,1577,37,234
41,1577,37,234
42,1577,33,209
43,1577,30,190
44,1577,24,152
45,1577,34,215
46,1577,18,114
47,1577,25,158
48,1577,29,183
49,1577,17,107
50,1577,16,101
51,1577,13,82
52,1577,24,152
53,1577,13,82
54,1577,10,63
55,1577,11,69
56,1577,9,57
57,1577,7,44
58,1577,9,57
59,1577,4,25
60,1577,10,63
61,1577,10,63
62,1577,5,31
63,1577,4,25
64,1577,4,25
65,1577,4,25
66,1577,5,31
67,1577,2,12
68,1577,10,63
69,1577,5,31
70,1577,5,31
71,1577,6,38
72,1577,0,0
73,1577,1,6
74,1577,3,19
75,1577,0,0
76,1577,0,0
77,1577,6,38
78,1577,2,12
79,1577,1,6
80,1577,0,0
81,1577,2,12
82,1577,1,6
83,1577,2,12
84,1577,3,19
85,1577,0,0
86,1577,1,6
87,1577,0,0
88,1577,0,0
89,1577,1,6
90,1577,1,6
91,1577,0,0
92,1577,0,0
93,1577,0,0
94,1577,0,0
95,1577,0,0
96,1577,0,0
97,1577,0,0
98,1577,0,0
99,1577,0,0
100,1577,0,0
101,1577,0,0
102,1577,0,0
103,1577,0,0
104,1577,776,4920
105,1577,801,5079
106,16,10,6250
107,16,6,3750
108,1577,1523,9657
109,1577,26,164
110,1577,28,177
111,1091,614,5627
112,1091,470,4307
113,1091,136,1246
114,1091,8,73
115,1091,477,4372
116,1091,335,3070
117,1091,46,421
118,1091,36,329
119,1091,41,375
120,1091,19,174
121,1091,148,1356
122,1091,52,476
123,1091,96,879
124,1091,371,3400
125,1091,183,1677
126,1091,153,1402
127,1091,30,274
128,1091,4,36
129,1091,1,9
130,1091,465,4262
131,1091,183,1677
132,1091,130,1191
133,1091,79,724
134,1091,53,485
135,1091,20,183
136,1091,57,522
137,1091,11,100
138,1091,36,329
139,1091,10,91
140,1091,36,329
141,1091,6,54
142,1091,23,210
143,1091,7,64
144,1091,14,128
145,1091,3,27
146,1091,11,100
147,550,184,3345
148,550,37,672
149,550,49,890
150,550,98,1781
151,550,302,5490
152,550,63,1145
153,550,66,1200
154,550,173,3145
155,550,37,672
156,550,11,200
157,550,20,363
158,550,6,109
159,550,27,490
160,550,9,163
161,550,16,290
162,550,2,36
163,1577,120,760
164,1577,9,57
165,1577,111,703
166,1577,1085,6880
167,1577,18,114
168,1577,621,3937
169,1577,76,481
170,1577,180,1141
171,1577,329,2086
172,1577,36,228
173,1577,0,0
174,1577,0,0
175,1577,0,0
176,1577,0,0
177,1577,0,0
178,1577,184,1166
179,1577,64,405
180,1577,30,190
181,1577,85,538
182,1577,5,31
183,1577,262,1661
184,1577,74,469
185,1577,167,1058
186,1577,21,133
187,1577,372,2358
188,1577,80,507
189,1577,125,792
190,1577,16,101
191,1577,0,0
192,1577,151,957
193,550,120,2181
194,550,9,163
195,550,111,2018
196,550,336,6109
197,550,9,163
198,550,175,3181
199,550,38,690
200,550,55,1000
201,550,71,1290
202,550,11,200
203,550,0,0
204,550,0,0
205,550,0,0
206,550,0,0
207,550,0,0
208,550,61,1109
209,550,32,581
210,550,10,181
211,550,18,327
212,550,1,18
213,550,91,1654
214,550,36,654
215,550,46,836
216,550,9,163
217,550,94,1709
218,550,21,381
219,550,22,400
220,550,5,90
221,550,0,0
222,550,46,836
223,1577,120,760
224,1577,9,57
225,1577,111,703
226,1577,1457,9239
227,1577,200,1268
228,1577,32,202
229,1577,390,2473
230,1577,172,1090
231,1577,147,932
232,1577,289,1832
233,1577,227,1439
234,550,120,2181
235,550,9,163
236,550,111,2018
237,550,430,7818
238,550,72,1309
239,550,16,290
240,550,113,2054
241,550,86,1563
242,550,26,472
243,550,56,1018
244,550,61,1109
245,550,120,2181
246,550,148,2690
247,550,77,1400
248,550,0,0
249,550,0,0
250,550,31,563
251,550,41,745
252,550,97,1763
253,550,10,181
254,550,5,90
255,550,21,381
256,1012,190,1877
257,1012,822,8122
258,417,137,3285
259,417,65,1558
260,417,37,887
261,417,24,575
262,417,61,1462
263,417,33,791
264,417,10,239
265,417,35,839
266,417,9,215
267,417,6,143
268,417,523,12541
269,550,239,4345
270,550,212,3854
271,550,78,1418
272,550,19,345
273,550,2,36
274,1577,362,2295
275,1577,6,38
276,1577,0,0
277,1577,179,1135
278,1577,30,190
279,1577,36,228
280,1577,14,88
281,1577,12,76
282,1577,41,259
283,1577,38,240
284,1577,24,152
285,1577,55,348
286,1577,79,500
287,1577,558,3538
288,1577,40,253
289,1577,56,355
290,1577,8,50
291,1577,39,247
292,1577,547,3468
293,1577,92,583
294,1577,237,1502
295,1577,654,4147
296,1577,47,298
297,550,120,2181
298,550,287,5218
299,550,37,672
300,550,70,1272
301,550,36,654
302,1577,1014,6429
303,1577,803,5091
304,1577,794,5034
305,1577,3,19
306,1577,2,12
307,1577,4,25
308,1577,0,0
309,1577,0,0
310,1577,0,0
311,1577,0,0
312,1577,0,0
313,1577,0,0
314,1577,9,57
315,1577,202,1280
316,1577,379,2403
317,1577,8,50
318,1577,283,1794
319,1577,21,133
320,1577,225,1426
321,1577,37,234
322,1577,87,551
323,1577,4,25
324,1577,18,114
325,1577,23,145
326,1577,13,82
327,1577,29,183
328,1577,1,6
329,1577,156,989
330,1577,8,50
331,1577,0,0
332,1577,8,50
333,1577,30,190
334,1577,11,69
335,1577,19,120
336,1577,0,0
337,1577,79,500
338,1577,11,69
339,1577,23,145
340,1577,14,88
341,1577,12,76
342,1577,19,120
343,1577,39,247
344,1577,13,82
345,1577,26,164
346,1577,0,0
347,1577,22,139
348,1577,4,25
349,1577,4,25
350,1577,0,0
351,1577,0,0
352,1577,4,25
353,1577,14,88
354,1577,5,31
355,1577,9,57
356,1577,6,38
357,1577,0,0
358,1577,6,38
359,1577,5,31
360,1577,1,6
361,1577,0,0
362,1577,0,0
363,1451,1083,7463
364,1451,0,0
365,1451,0,0
366,1451,0,0
367,1451,0,0
368,1451,0,0
369,1451,0,0
370,1451,0,0
371,1451,0,0
372,1451,0,0
373,1451,25,172
374,1451,16,110
375,1451,11,75
376,1451,115,792
377,1451,12,82
378,1451,5,34
379,1451,47,323
380,1451,2,13
381,1451,0,0
382,1451,3,20
383,1451,23,158
384,1451,2,13
385,1451,3,20
386,1451,12,82
387,1451,1,6
388,1451,4,27
389,1451,0,0
390,1451,1,6
391,1451,0,0
392,1451,0,0
393,1451,0,0
394,1451,0,0
395,1451,0,0
396,1451,0,0
397,1451,0,0
398,1451,0,0
399,1451,0,0
400,1451,0,0
401,1451,0,0
402,1451,0,0
403,1451,0,0
404,1451,0,0
405,1451,9,62
406,1451,3,20
407,1451,5,34
408,1451,6,41
409,1451,0,0
410,1451,2,13
411,1451,2,13
412,1451,2,13
413,1451,0,0
414,1451,70,482
415,1451,17,117
416,1451,0,0
417,1451,3,20
418,1451,0,0
419,1451,6,41
420,1451,8,55
421,1451,0,0
422,1451,0,0
423,1451,7,48
424,1451,0,0
425,1451,6,41
426,1451,18,124
427,1451,5,34
428,1451,34,234
429,1451,3,20
430,1451,11,75
431,1451,8,55
432,1451,0,0
433,1451,0,0
434,1451,3,20
435,1451,2,13
436,1451,0,0
437,1451,5,34
438,1451,2,13
439,1451,0,0
440,1451,0,0
441,1451,0,0
442,1451,0,0
443,1451,0,0
444,1451,72,496
445,1451,3,20
446,1451,1,6
447,1451,13,89
448,1451,3,20
449,1451,2,13
450,1451,24,165
451,1451,9,62
452,1451,0,0
453,1451,2,13
454,1451,2,13
455,1451,1,6
456,1451,3,20
457,1451,0,0
458,1451,2,13
459,1451,7,48
460,1451,1,6
461,1451,1,6
462,1451,1,6
463,1451,0,0
464,1451,0,0
465,1451,1083,7463
466,1451,196,1350
467,1451,112,771
468,1451,45,310
469,1451,15,103
470,1577,920,5833
471,1577,34,215
472,1577,42,266
473,1577,7,44
474,1577,200,1268
475,1577,9,57
476,1577,1,6
477,1577,249,1578
478,1577,115,729
479,1577,920,5833
480,1577,34,215
481,1577,42,266
482,1577,7,44
483,1577,200,1268
484,1577,9,57
485,1577,1,6
486,1577,0,0
487,1577,0,0
488,1577,0,0
489,1577,0,0
490,1577,0,0
491,1577,0,0
492,1577,0,0
493,1577,0,0
494,1577,0,0
495,1577,0,0
496,1577,0,0
497,1577,0,0
498,1577,0,0
499,1577,0,0
500,1577,0,0
501,1577,0,0
502,1577,0,0
503,1577,0,0
504,1577,0,0
505,1577,1,6
506,1577,0,0
507,1577,0,0
508,1577,0,0
509,1577,0,0
510,1577,0,0
511,1577,0,0
512,1577,0,0
513,1577,0,0
