,indicators,geocd,values
0,1785,1785,10000
1,1785,0,0
2,1785,0,0
3,1785,21,117
4,1785,14,78
5,1785,19,106
6,1785,14,78
7,1785,19,106
8,1785,23,128
9,1785,18,100
10,1785,20,112
11,1785,22,123
12,1785,16,89
13,1785,20,112
14,1785,19,106
15,1785,19,106
16,1785,12,67
17,1785,13,72
18,1785,21,117
19,1785,20,112
20,1785,13,72
21,1785,23,128
22,1785,18,100
23,1785,13,72
24,1785,20,112
25,1785,17,95
26,1785,19,106
27,1785,18,100
28,1785,14,78
29,1785,21,117
30,1785,17,95
31,1785,20,112
32,1785,23,128
33,1785,10,56
34,1785,20,112
35,1785,22,123
36,1785,19,106
37,1785,27,151
38,1785,16,89
39,1785,25,140
40,1785,24,134
41,1785,30,168
42,1785,23,128
43,1785,29,162
44,1785,33,184
45,1785,34,190
46,1785,26,145
47,1785,30,168
48,1785,20,112
49,1785,29,162
50,1785,21,117
51,1785,29,162
52,1785,37,207
53,1785,19,106
54,1785,30,168
55,1785,19,106
56,1785,19,106
57,1785,21,117
58,1785,21,117
59,1785,16,89
60,1785,19,106
61,1785,14,78
62,1785,17,95
63,1785,20,112
64,1785,20,112
65,1785,30,168
66,1785,36,201
67,1785,25,140
68,1785,23,128
69,1785,29,162
70,1785,24,134
71,1785,23,128
72,1785,16,89
73,1785,26,145
74,1785,17,95
75,1785,19,106
76,1785,26,145
77,1785,12,67
78,1785,19,106
79,1785,17,95
80,1785,19,106
81,1785,25,140
82,1785,13,72
83,1785,15,84
84,1785,12,67
85,1785,11,61
86,1785,8,44
87,1785,5,28
88,1785,2,11
89,1785,6,33
90,1785,11,61
91,1785,6,33
92,1785,8,44
93,1785,4,22
94,1785,7,39
95,1785,3,16
96,1785,2,11
97,1785,1,5
98,1785,0,0
99,1785,0,0
100,1785,0,0
101,1785,0,0
102,1785,0,0
103,1785,0,0
104,1785,872,4885
105,1785,913,5114
106,8,2,2500
107,8,6,7500
108,1785,1731,9697
109,1785,47,263
110,1785,7,39
111,1495,874,5846
112,1495,648,4334
113,1495,218,1458
114,1495,8,53
115,1495,621,4153
116,1495,293,1959
117,1495,15,100
118,1495,34,227
119,1495,132,882
120,1495,147,983
121,1495,161,1076
122,1495,69,461
123,1495,92,615
124,1495,193,1290
125,1495,112,749
126,1495,56,374
127,1495,23,153
128,1495,2,13
129,1495,0,0
130,1495,514,3438
131,1495,275,1839
132,1495,55,367
133,1495,98,655
134,1495,63,421
135,1495,23,153
136,1495,218,1458
137,1495,57,381
138,1495,148,989
139,1495,13,86
140,1495,215,1438
141,1495,66,441
142,1495,141,943
143,1495,8,53
144,1495,194,1297
145,1495,95,635
146,1495,99,662
147,885,130,1468
148,885,37,418
149,885,39,440
150,885,54,610
151,885,315,3559
152,885,97,1096
153,885,77,870
154,885,141,1593
155,885,144,1627
156,885,57,644
157,885,75,847
158,885,12,135
159,885,296,3344
160,885,161,1819
161,885,130,1468
162,885,5,56
163,1785,352,1971
164,1785,161,901
165,1785,191,1070
166,1785,1350,7563
167,1785,158,885
168,1785,738,4134
169,1785,192,1075
170,1785,141,789
171,1785,295,1652
172,1785,110,616
173,1785,0,0
174,1785,0,0
175,1785,0,0
176,1785,0,0
177,1785,0,0
178,1785,252,1411
179,1785,116,649
180,1785,87,487
181,1785,37,207
182,1785,12,67
183,1785,202,1131
184,1785,88,492
185,1785,47,263
186,1785,67,375
187,1785,83,464
188,1785,14,78
189,1785,16,89
190,1785,0,0
191,1785,12,67
192,1785,41,229
193,885,352,3977
194,885,161,1819
195,885,191,2158
196,885,508,5740
197,885,79,892
198,885,242,2734
199,885,96,1084
200,885,41,463
201,885,70,790
202,885,35,395
203,885,0,0
204,885,0,0
205,885,0,0
206,885,0,0
207,885,0,0
208,885,100,1129
