,indicators,geocd,values
0,1203,1191,9900
1,1203,12,99
2,1203,0,0
3,1203,19,157
4,1203,10,83
5,1203,11,91
6,1203,4,33
7,1203,9,74
8,1203,13,108
9,1203,11,91
10,1203,8,66
11,1203,9,74
12,1203,10,83
13,1203,14,116
14,1203,14,116
15,1203,5,41
16,1203,14,116
17,1203,9,74
18,1203,13,108
19,1203,12,99
20,1203,17,141
21,1203,9,74
22,1203,16,133
23,1203,13,108
24,1203,16,133
25,1203,21,174
26,1203,17,141
27,1203,18,149
28,1203,17,141
29,1203,11,91
30,1203,14,116
31,1203,11,91
32,1203,10,83
33,1203,13,108
34,1203,16,133
35,1203,7,58
36,1203,10,83
37,1203,21,174
38,1203,7,58
39,1203,17,141
40,1203,17,141
41,1203,9,74
42,1203,22,182
43,1203,23,191
44,1203,20,166
45,1203,16,133
46,1203,23,191
47,1203,23,191
48,1203,20,166
49,1203,24,199
50,1203,19,157
51,1203,25,207
52,1203,23,191
53,1203,15,124
54,1203,9,74
55,1203,27,224
56,1203,20,166
57,1203,13,108
58,1203,14,116
59,1203,21,174
60,1203,16,133
61,1203,18,149
62,1203,11,91
63,1203,17,141
64,1203,25,207
65,1203,19,157
66,1203,19,157
67,1203,19,157
68,1203,15,124
69,1203,16,133
70,1203,9,74
71,1203,12,99
72,1203,13,108
73,1203,7,58
74,1203,10,83
75,1203,6,49
76,1203,10,83
77,1203,13,108
78,1203,8,66
79,1203,10,83
80,1203,6,49
81,1203,7,58
82,1203,6,49
83,1203,7,58
84,1203,10,83
85,1203,7,58
86,1203,6,49
87,1203,8,66
88,1203,4,33
89,1203,3,24
90,1203,6,49
91,1203,3,24
92,1203,4,33
93,1203,0,0
94,1203,2,16
95,1203,0,0
96,1203,0,0
97,1203,1,8
98,1203,1,8
99,1203,0,0
100,1203,0,0
101,1203,0,0
102,1203,0,0
103,1203,0,0
104,1203,617,5128
105,1203,586,4871
106,10,7,7000
107,10,3,3000
108,1203,1153,9584
109,1203,38,315
110,1203,12,99
111,1018,600,5893
112,1018,436,4282
113,1018,148,1453
114,1018,16,157
115,1018,418,4106
116,1018,217,2131
117,1018,5,49
118,1018,33,324
119,1018,86,844
120,1018,77,756
121,1018,138,1355
122,1018,69,677
123,1018,69,677
124,1018,128,1257
125,1018,64,628
126,1018,48,471
127,1018,10,98
128,1018,5,49
129,1018,1,9
130,1018,364,3575
131,1018,229,2249
132,1018,23,225
133,1018,47,461
134,1018,35,343
135,1018,30,294
136,1018,179,1758
137,1018,32,314
138,1018,131,1286
139,1018,16,157
140,1018,110,1080
141,1018,27,265
142,1018,80,785
143,1018,3,29
144,1018,99,972
145,1018,52,510
146,1018,47,461
147,573,89,1553
148,573,28,488
149,573,18,314
150,573,43,750
151,573,221,3856
152,573,67,1169
153,573,72,1256
154,573,82,1431
155,573,106,1849
156,573,32,558
157,573,65,1134
158,573,9,157
159,573,157,2739
160,573,79,1378
161,573,77,1343
162,573,1,17
163,1191,206,1729
164,1191,79,663
165,1191,127,1066
166,1191,925,7766
167,1191,76,638
168,1191,504,4231
169,1191,174,1460
170,1191,114,957
171,1191,120,1007
172,1191,96,806
173,1191,4,33
174,1191,4,33
175,1191,0,0
176,1191,0,0
177,1191,0,0
178,1191,184,1544
179,1191,74,621
180,1191,60,503
181,1191,40,335
182,1191,10,83
183,1191,157,1318
184,1191,52,436
185,1191,52,436
186,1191,53,445
187,1191,60,503
188,1191,10,83
189,1191,12,100
190,1191,0,0
191,1191,0,0
192,1191,38,319
193,573,206,3595
194,573,79,1378
195,573,127,2216
196,573,349,6090
197,573,38,663
198,573,178,3106
199,573,87,1518
200,573,35,610
201,573,28,488
202,573,28,488
203,573,2,34
204,573,2,34
205,573,0,0
206,573,0,0
207,573,0,0
208,573,69,1204
209,573,37,645
210,573,20,349
211,573,9,157
212,573,3,52
213,573,62,1082
214,573,23,401
215,573,15,261
216,573,24,418
217,573,18,314
218,573,3,52
219,573,2,34
220,573,0,0
221,573,0,0
222,573,13,226
