,indicators,geocd,values
0,1565,1565,10000
1,1565,0,0
2,1565,0,0
3,1565,27,172
4,1565,30,191
5,1565,23,146
6,1565,22,140
7,1565,29,185
8,1565,24,153
9,1565,24,153
10,1565,17,108
11,1565,31,198
12,1565,15,95
13,1565,17,108
14,1565,31,198
15,1565,23,146
16,1565,21,134
17,1565,30,191
18,1565,21,134
19,1565,30,191
20,1565,21,134
21,1565,25,159
22,1565,12,76
23,1565,20,127
24,1565,16,102
25,1565,9,57
26,1565,18,115
27,1565,14,89
28,1565,25,159
29,1565,26,166
30,1565,27,172
31,1565,36,230
32,1565,21,134
33,1565,19,121
34,1565,20,127
35,1565,33,210
36,1565,27,172
37,1565,26,166
38,1565,26,166
39,1565,18,115
40,1565,27,172
41,1565,26,166
42,1565,23,146
43,1565,32,204
44,1565,22,140
45,1565,20,127
46,1565,19,121
47,1565,24,153
48,1565,24,153
49,1565,25,159
50,1565,24,153
51,1565,21,134
52,1565,25,159
53,1565,15,95
54,1565,23,146
55,1565,26,166
56,1565,22,140
57,1565,20,127
58,1565,18,115
59,1565,14,89
60,1565,18,115
61,1565,5,31
62,1565,12,76
63,1565,16,102
64,1565,9,57
65,1565,12,76
66,1565,12,76
67,1565,15,95
68,1565,14,89
69,1565,7,44
70,1565,17,108
71,1565,12,76
72,1565,11,70
73,1565,10,63
74,1565,9,57
75,1565,6,38
76,1565,2,12
77,1565,6,38
78,1565,10,63
79,1565,12,76
80,1565,6,38
81,1565,6,38
82,1565,2,12
83,1565,1,6
84,1565,5,31
85,1565,5,31
86,1565,3,19
87,1565,6,38
88,1565,4,25
89,1565,2,12
90,1565,0,0
91,1565,1,6
92,1565,1,6
93,1565,1,6
94,1565,1,6
95,1565,0,0
96,1565,0,0
97,1565,0,0
98,1565,0,0
99,1565,0,0
100,1565,0,0
101,1565,1,6
102,1565,1,6
103,1565,0,0
104,1565,772,4932
105,1565,793,5067
106,18,9,5000
107,18,9,5000
108,1565,1520,9712
109,1565,31,198
110,1565,14,89
111,1180,662,5610
112,1180,518,4389
113,1180,140,1186
114,1180,4,33
115,1180,518,4389
116,1180,324,2745
117,1180,16,135
118,1180,31,262
119,1180,87,737
120,1180,60,508
121,1180,165,1398
122,1180,65,550
123,1180,100,847
124,1180,260,2203
125,1180,121,1025
126,1180,103,872
127,1180,22,186
128,1180,8,67
129,1180,6,50
130,1180,462,3915
131,1180,222,1881
132,1180,79,669
133,1180,65,550
134,1180,59,500
135,1180,37,313
136,1180,131,1110
137,1180,25,211
138,1180,88,745
139,1180,18,152
140,1180,94,796
141,1180,28,237
142,1180,66,559
143,1180,0,0
144,1180,68,576
145,1180,33,279
146,1180,35,296
147,618,124,2006
148,618,23,372
149,618,40,647
150,618,61,987
151,618,296,4789
152,618,74,1197
153,618,72,1165
154,618,150,2427
155,618,86,1391
156,618,25,404
157,618,51,825
158,618,10,161
159,618,112,1812
160,618,61,987
161,618,50,809
162,618,1,16
163,1565,183,1169
164,1565,61,389
165,1565,122,779
166,1565,1191,7610
167,1565,56,357
168,1565,728,4651
169,1565,122,779
170,1565,103,658
171,1565,398,2543
172,1565,105,670
173,1565,0,0
174,1565,0,0
175,1565,0,0
176,1565,0,0
177,1565,0,0
178,1565,177,1130
179,1565,72,460
180,1565,33,210
181,1565,66,421
182,1565,6,38
183,1565,230,1469
184,1565,71,453
185,1565,105,670
186,1565,54,345
187,1565,191,1220
188,1565,47,300
189,1565,61,389
190,1565,0,0
191,1565,0,0
192,1565,83,530
193,618,183,2961
194,618,61,987
195,618,122,1974
196,618,385,6229
197,618,28,453
198,618,209,3381
199,618,61,987
200,618,32,517
201,618,84,1359
202,618,32,517
203,618,0,0
204,618,0,0
205,618,0,0
206,618,0,0
207,618,0,0
208,618,62,1003
209,618,36,582
210,618,11,177
211,618,13,210
212,618,2,32
213,618,86,1391
214,618,32,517
215,618,30,485
216,618,24,388
217,618,50,809
218,618,11,177
219,618,9,145
220,618,0,0
221,618,0,0
222,618,30,485
223,1565,183,1169
224,1565,61,389
225,1565,122,779
226,1565,1382,8830
227,1565,115,734
228,1565,106,677
229,1565,319,2038
230,1565,226,1444
231,1565,138,881
232,1565,228,1456
233,1565,250,1597
234,618,183,2961
235,618,61,987
236,618,122,1974
237,618,435,7038
238,618,43,695
239,618,53,857
240,618,89,1440
241,618,113,1828
242,618,25,404
243,618,41,663
244,618,71,1148
245,618,183,2961
246,618,128,2071
247,618,128,2071
248,618,0,0
249,618,0,0
250,618,27,436
251,618,41,663
252,618,65,1051
253,618,26,420
254,618,0,0
255,618,20,323
256,967,178,1840
257,967,789,8159
258,422,200,4739
259,422,31,734
260,422,18,426
261,422,37,876
262,422,39,924
263,422,30,710
264,422,18,426
265,422,29,687
266,422,18,426
267,422,2,47
268,422,443,10497
269,618,238,3851
270,618,220,3559
271,618,119,1925
272,618,37,598
273,618,4,64
274,1565,1042,6658
275,1565,16,102
276,1565,0,0
277,1565,74,472
278,1565,40,255
279,1565,8,51
280,1565,31,198
281,1565,8,51
282,1565,11,70
283,1565,200,1277
284,1565,6,38
285,1565,0,0
286,1565,64,408
287,1565,11,70
288,1565,29,185
289,1565,0,0
290,1565,8,51
291,1565,17,108
292,1565,1132,7233
293,1565,87,555
294,1565,281,1795
