,indicators,geocd,values
0,2374,2372,9991
1,2374,2,8
2,2374,0,0
3,2374,16,67
4,2374,25,105
5,2374,27,113
6,2374,16,67
7,2374,26,109
8,2374,27,113
9,2374,32,134
10,2374,26,109
11,2374,26,109
12,2374,24,101
13,2374,27,113
14,2374,32,134
15,2374,31,130
16,2374,30,126
17,2374,36,151
18,2374,36,151
19,2374,34,143
20,2374,21,88
21,2374,32,134
22,2374,19,80
23,2374,21,88
24,2374,19,80
25,2374,16,67
26,2374,17,71
27,2374,21,88
28,2374,20,84
29,2374,14,58
30,2374,25,105
31,2374,24,101
32,2374,19,80
33,2374,22,92
34,2374,27,113
35,2374,17,71
36,2374,28,117
37,2374,26,109
38,2374,23,96
39,2374,23,96
40,2374,30,126
41,2374,44,185
42,2374,37,155
43,2374,31,130
44,2374,31,130
45,2374,37,155
46,2374,47,197
47,2374,32,134
48,2374,43,181
49,2374,49,206
50,2374,46,193
51,2374,39,164
52,2374,53,223
53,2374,45,189
54,2374,46,193
55,2374,33,139
56,2374,48,202
57,2374,37,155
58,2374,23,96
59,2374,37,155
60,2374,38,160
61,2374,29,122
62,2374,33,139
63,2374,32,134
64,2374,22,92
65,2374,42,176
66,2374,26,109
67,2374,40,168
68,2374,35,147
69,2374,31,130
70,2374,23,96
71,2374,24,101
72,2374,23,96
73,2374,19,80
74,2374,25,105
75,2374,27,113
76,2374,17,71
77,2374,14,58
78,2374,11,46
79,2374,12,50
80,2374,19,80
81,2374,21,88
82,2374,18,75
83,2374,14,58
84,2374,13,54
85,2374,10,42
86,2374,13,54
87,2374,8,33
88,2374,6,25
89,2374,5,21
90,2374,5,21
91,2374,2,8
92,2374,6,25
93,2374,6,25
94,2374,5,21
95,2374,2,8
96,2374,2,8
97,2374,1,4
98,2374,0,0
99,2374,2,8
100,2374,0,0
101,2374,0,0
102,2374,0,0
103,2374,0,0
104,2374,1157,4873
105,2374,1217,5126
106,42,17,4047
107,42,25,5952
108,2374,2219,9347
109,2374,111,467
110,2374,44,185
111,1935,1308,6759
112,1935,1058,5467
113,1935,228,1178
114,1935,22,113
115,1935,627,3240
116,1935,329,1700
117,1935,26,134
118,1935,36,186
119,1935,118,609
120,1935,118,609
121,1935,199,1028
122,1935,88,454
123,1935,111,573
124,1935,222,1147
125,1935,121,625
126,1935,73,377
127,1935,19,98
128,1935,8,41
129,1935,1,5
130,1935,773,3994
131,1935,374,1932
132,1935,82,423
133,1935,154,795
134,1935,124,640
135,1935,39,201
136,1935,322,1664
137,1935,44,227
138,1935,251,1297
139,1935,27,139
140,1935,238,1229
141,1935,47,242
142,1935,185,956
143,1935,6,31
144,1935,181,935
145,1935,74,382
146,1935,107,552
147,1020,102,1000
148,1020,10,98
149,1020,40,392
150,1020,52,509
151,1020,449,4401
152,1020,103,1009
153,1020,133,1303
154,1020,213,2088
155,1020,191,1872
156,1020,44,431
157,1020,127,1245
158,1020,20,196
159,1020,278,2725
160,1020,121,1186
161,1020,155,1519
162,1020,2,19
163,2372,278,1172
164,2372,121,510
165,2372,157,661
166,2372,1965,8284
167,2372,204,860
168,2372,1266,5337
169,2372,354,1492
170,2372,245,1032
171,2372,495,2086
172,2372,172,725
173,2372,6,25
174,2372,6,25
175,2372,0,0
176,2372,0,0
177,2372,0,0
178,2372,300,1264
179,2372,132,556
180,2372,57,240
181,2372,92,387
182,2372,19,80
183,2372,189,796
184,2372,52,219
185,2372,75,316
186,2372,62,261
187,2372,129,543
188,2372,43,181
189,2372,22,92
190,2372,4,16
191,2372,7,29
192,2372,53,223
193,1020,278,2725
194,1020,121,1186
195,1020,157,1539
196,1020,706,6921
197,1020,102,1000
198,1020,415,4068
199,1020,177,1735
200,1020,75,735
201,1020,113,1107
202,1020,50,490
203,1020,3,29
204,1020,3,29
205,1020,0,0
206,1020,0,0
207,1020,0,0
208,1020,110,1078
209,1020,66,647
210,1020,18,176
211,1020,20,196
212,1020,6,58
213,1020,76,745
214,1020,25,245
215,1020,21,205
216,1020,30,294
217,1020,36,352
218,1020,10,98
219,1020,5,49
220,1020,1,9
221,1020,3,29
222,1020,17,166
223,2372,278,1172
224,2372,121,510
225,2372,157,661
226,2372,2094,8827
227,2372,96,404
228,2372,328,1382
229,2372,503,2120
230,2372,450,1897
231,2372,132,556
232,2372,261,1100
233,2372,324,1365
234,1020,278,2725
235,1020,121,1186
236,1020,157,1539
237,1020,742,7274
