,indicators,geocd,values
0,1433,1433,10000
1,1433,0,0
2,1433,0,0
3,1433,11,76
4,1433,14,97
5,1433,32,223
6,1433,17,118
7,1433,14,97
8,1433,15,104
9,1433,11,76
10,1433,15,104
11,1433,11,76
12,1433,11,76
13,1433,17,118
14,1433,12,83
15,1433,11,76
16,1433,18,125
17,1433,19,132
18,1433,18,125
19,1433,15,104
20,1433,21,146
21,1433,15,104
22,1433,15,104
23,1433,20,139
24,1433,14,97
25,1433,20,139
26,1433,21,146
27,1433,29,202
28,1433,16,111
29,1433,18,125
30,1433,15,104
31,1433,25,174
32,1433,19,132
33,1433,21,146
34,1433,19,132
35,1433,14,97
36,1433,23,160
37,1433,16,111
38,1433,16,111
39,1433,7,48
40,1433,15,104
41,1433,7,48
42,1433,17,118
43,1433,24,167
44,1433,18,125
45,1433,30,209
46,1433,26,181
47,1433,23,160
48,1433,13,90
49,1433,26,181
50,1433,18,125
51,1433,20,139
52,1433,16,111
53,1433,22,153
54,1433,20,139
55,1433,25,174
56,1433,30,209
57,1433,28,195
58,1433,15,104
59,1433,23,160
60,1433,23,160
61,1433,33,230
62,1433,18,125
63,1433,14,97
64,1433,18,125
65,1433,21,146
66,1433,16,111
67,1433,18,125
68,1433,18,125
69,1433,12,83
70,1433,15,104
71,1433,17,118
72,1433,9,62
73,1433,10,69
74,1433,11,76
75,1433,15,104
76,1433,9,62
77,1433,13,90
78,1433,13,90
79,1433,7,48
80,1433,14,97
81,1433,9,62
82,1433,4,27
83,1433,6,41
84,1433,6,41
85,1433,4,27
86,1433,6,41
87,1433,4,27
88,1433,8,55
89,1433,4,27
90,1433,2,13
91,1433,8,55
92,1433,3,20
93,1433,2,13
94,1433,0,0
95,1433,0,0
96,1433,1,6
97,1433,0,0
98,1433,0,0
99,1433,0,0
100,1433,1,6
101,1433,0,0
102,1433,0,0
103,1433,0,0
104,1433,749,5226
105,1433,684,4773
106,12,7,5833
107,12,5,4166
108,1433,1392,9713
109,1433,34,237
110,1433,7,48
111,1187,658,5543
112,1187,540,4549
113,1187,108,909
114,1187,10,84
115,1187,529,4456
116,1187,325,2737
117,1187,11,92
118,1187,21,176
119,1187,92,775
120,1187,80,673
121,1187,170,1432
122,1187,88,741
123,1187,82,690
124,1187,186,1566
125,1187,93,783
126,1187,66,556
127,1187,20,168
128,1187,4,33
129,1187,3,25
130,1187,401,3378
131,1187,221,1861
132,1187,37,311
133,1187,54,454
134,1187,55,463
135,1187,34,286
136,1187,199,1676
137,1187,22,185
138,1187,156,1314
139,1187,21,176
140,1187,129,1086
141,1187,43,362
142,1187,82,690
143,1187,4,33
144,1187,102,859
145,1187,50,421
146,1187,52,438
147,648,128,1975
148,648,42,648
149,648,20,308
150,648,66,1018
151,648,236,3641
152,648,69,1064
153,648,66,1018
154,648,101,1558
155,648,115,1774
156,648,22,339
157,648,83,1280
158,648,10,154
159,648,169,2608
160,648,93,1435
161,648,74,1141
162,648,2,30
163,1433,226,1577
164,1433,93,648
165,1433,133,928
166,1433,1100,7676
167,1433,76,530
168,1433,686,4787
169,1433,154,1074
170,1433,142,990
171,1433,200,1395
172,1433,190,1325
173,1433,4,27
174,1433,4,27
175,1433,0,0
176,1433,0,0
177,1433,0,0
178,1433,161,1123
179,1433,36,251
180,1433,41,286
181,1433,67,467
182,1433,17,118
183,1433,173,1207
184,1433,67,467
185,1433,53,369
186,1433,53,369
187,1433,107,746
188,1433,26,181
189,1433,31,216
190,1433,0,0
191,1433,10,69
192,1433,40,279
193,648,226,3487
194,648,93,1435
195,648,133,2052
196,648,388,5987
197,648,38,586
198,648,225,3472
199,648,77,1188
200,648,43,663
201,648,46,709
202,648,59,910
203,648,2,30
204,648,2,30
205,648,0,0
206,648,0,0
207,648,0,0
208,648,51,787
209,648,18,277
210,648,13,200
211,648,15,231
212,648,5,77
213,648,72,1111
214,648,31,478
215,648,17,262
216,648,24,370
217,648,34,524
218,648,7,108
219,648,7,108
220,648,0,0
221,648,4,61
222,648,16,246
223,1433,226,1577
224,1433,93,648
225,1433,133,928
226,1433,1207,8422
227,1433,93,648
228,1433,130,907
229,1433,269,1877
230,1433,208,1451
231,1433,70,488
232,1433,123,858
233,1433,314,2191
234,648,226,3487
