,indicators,geocd,values
0,1479,1478,9993
1,1479,1,6
2,1479,0,0
3,1479,16,108
4,1479,20,135
5,1479,28,189
6,1479,22,148
7,1479,11,74
8,1479,20,135
9,1479,21,141
10,1479,15,101
11,1479,12,81
12,1479,12,81
13,1479,27,182
14,1479,10,67
15,1479,10,67
16,1479,15,101
17,1479,12,81
18,1479,16,108
19,1479,20,135
20,1479,21,141
21,1479,14,94
22,1479,19,128
23,1479,26,175
24,1479,17,114
25,1479,21,141
26,1479,20,135
27,1479,26,175
28,1479,31,209
29,1479,37,250
30,1479,27,182
31,1479,28,189
32,1479,22,148
33,1479,21,141
34,1479,23,155
35,1479,20,135
36,1479,22,148
37,1479,15,101
38,1479,16,108
39,1479,19,128
40,1479,24,162
41,1479,24,162
42,1479,28,189
43,1479,17,114
44,1479,14,94
45,1479,24,162
46,1479,20,135
47,1479,28,189
48,1479,22,148
49,1479,15,101
50,1479,13,87
51,1479,21,141
52,1479,22,148
53,1479,26,175
54,1479,25,169
55,1479,17,114
56,1479,22,148
57,1479,22,148
58,1479,23,155
59,1479,22,148
60,1479,20,135
61,1479,22,148
62,1479,18,121
63,1479,12,81
64,1479,8,54
65,1479,11,74
66,1479,22,148
67,1479,16,108
68,1479,8,54
69,1479,9,60
70,1479,8,54
71,1479,6,40
72,1479,14,94
73,1479,8,54
74,1479,10,67
75,1479,8,54
76,1479,12,81
77,1479,16,108
78,1479,10,67
79,1479,10,67
80,1479,5,33
81,1479,6,40
82,1479,7,47
83,1479,8,54
84,1479,2,13
85,1479,10,67
86,1479,2,13
87,1479,0,0
88,1479,3,20
89,1479,4,27
90,1479,5,33
91,1479,4,27
92,1479,4,27
93,1479,2,13
94,1479,5,33
95,1479,1,6
96,1479,0,0
97,1479,0,0
98,1479,0,0
99,1479,0,0
100,1479,1,6
101,1479,0,0
102,1479,0,0
103,1479,1,6
104,1479,754,5098
105,1479,725,4901
106,8,3,3750
107,8,5,6250
108,1479,1436,9709
109,1479,40,270
110,1479,3,20
111,1211,576,4756
112,1211,404,3336
113,1211,148,1222
114,1211,24,198
115,1211,635,5243
116,1211,386,3187
117,1211,11,90
118,1211,34,280
