,indicators,geocd,values
0,1728,1728,10000
1,1728,0,0
2,1728,0,0
3,1728,31,179
4,1728,25,144
5,1728,26,150
6,1728,22,127
7,1728,26,150
8,1728,33,190
9,1728,26,150
10,1728,29,167
11,1728,18,104
12,1728,23,133
13,1728,28,162
14,1728,17,98
15,1728,23,133
16,1728,22,127
17,1728,22,127
18,1728,23,133
19,1728,13,75
20,1728,19,109
21,1728,18,104
22,1728,25,144
23,1728,26,150
24,1728,28,162
25,1728,39,225
26,1728,35,202
27,1728,33,190
28,1728,39,225
29,1728,32,185
30,1728,35,202
31,1728,20,115
32,1728,28,162
33,1728,31,179
34,1728,30,173
35,1728,23,133
36,1728,31,179
37,1728,26,150
38,1728,36,208
39,1728,22,127
40,1728,28,162
41,1728,17,98
42,1728,36,208
43,1728,27,156
44,1728,35,202
45,1728,27,156
46,1728,25,144
47,1728,16,92
48,1728,11,63
49,1728,17,98
50,1728,15,86
51,1728,18,104
52,1728,31,179
53,1728,12,69
54,1728,18,104
55,1728,22,127
56,1728,27,156
57,1728,25,144
58,1728,15,86
59,1728,14,81
60,1728,23,133
61,1728,13,75
62,1728,15,86
63,1728,12,69
64,1728,16,92
65,1728,13,75
66,1728,7,40
67,1728,8,46
68,1728,12,69
69,1728,18,104
70,1728,8,46
71,1728,7,40
72,1728,22,127
73,1728,10,57
74,1728,6,34
75,1728,13,75
76,1728,8,46
77,1728,5,28
78,1728,7,40
79,1728,6,34
80,1728,10,57
81,1728,5,28
82,1728,8,46
83,1728,2,11
84,1728,9,52
85,1728,11,63
86,1728,5,28
87,1728,6,34
88,1728,2,11
89,1728,4,23
90,1728,4,23
91,1728,3,17
92,1728,4,23
93,1728,2,11
94,1728,1,5
95,1728,1,5
96,1728,1,5
97,1728,0,0
98,1728,1,5
99,1728,1,5
100,1728,0,0
101,1728,0,0
102,1728,0,0
103,1728,0,0
104,1728,893,5167
105,1728,835,4832
106,19,9,4736
107,19,10,5263
108,1728,1624,9398
109,1728,68,393
110,1728,36,208
111,1334,666,4992
112,1334,534,4002
113,1334,120,899
114,1334,12,89
115,1334,668,5007
116,1334,390,2923
117,1334,66,494
118,1334,35,262
119,1334,95,712
120,1334,82,614
121,1334,236,1769
122,1334,127,952
123,1334,109,817
124,1334,295,2211
125,1334,147,1101
126,1334,104,779
127,1334,36,269
128,1334,8,59
129,1334,0,0
130,1334,465,3485
131,1334,226,1694
132,1334,79,592
133,1334,89,667
134,1334,56,419
135,1334,15,112
136,1334,136,1019
137,1334,38,284
138,1334,82,614
139,1334,16,119
140,1334,109,817
141,1334,34,254
142,1334,72,539
143,1334,3,22
144,1334,93,697
145,1334,45,337
146,1334,48,359
147,651,151,2319
148,651,29,445
149,651,56,860
150,651,66,1013
151,651,269,4132
152,651,69,1059
153,651,65,998
154,651,135,2073
155,651,93,1428
156,651,38,583
157,651,46,706
158,651,9,138
159,651,138,2119
160,651,79,1213
161,651,58,890
162,651,1,15
163,1728,215,1244
164,1728,79,457
165,1728,136,787
166,1728,1009,5839
167,1728,59,341
168,1728,718,4155
169,1728,102,590
170,1728,107,619
171,1728,418,2418
172,1728,91,526
173,1728,2,11
174,1728,2,11
175,1728,0,0
176,1728,0,0
177,1728,0,0
178,1728,117,677
179,1728,44,254
180,1728,33,190
181,1728,37,214
182,1728,3,17
183,1728,113,653
184,1728,45,260
185,1728,40,231
186,1728,28,162
187,1728,504,2916
188,1728,68,393
189,1728,164,949
190,1728,34,196
191,1728,12,69
192,1728,226,1307
193,651,215,3302
194,651,79,1213
195,651,136,2089
196,651,312,4792
197,651,29,445
198,651,193,2964
199,651,51,783
200,651,33,506
201,651,84,1290
