,indicators,geocd,values
0,1427,1427,10000
1,1427,0,0
2,1427,0,0
3,1427,11,77
4,1427,15,105
5,1427,15,105
6,1427,10,70
7,1427,12,84
8,1427,16,112
9,1427,8,56
10,1427,9,63
11,1427,15,105
12,1427,9,63
13,1427,22,154
14,1427,13,91
15,1427,25,175
16,1427,21,147
17,1427,21,147
18,1427,15,105
19,1427,14,98
20,1427,17,119
21,1427,20,140
22,1427,16,112
23,1427,12,84
24,1427,12,84
25,1427,10,70
26,1427,12,84
27,1427,14,98
28,1427,9,63
29,1427,9,63
30,1427,13,91
31,1427,14,98
32,1427,14,98
33,1427,14,98
34,1427,12,84
35,1427,12,84
36,1427,12,84
37,1427,19,133
38,1427,13,91
39,1427,13,91
40,1427,18,126
41,1427,20,140
42,1427,23,161
43,1427,13,91
44,1427,21,147
45,1427,23,161
46,1427,19,133
47,1427,18,126
48,1427,24,168
49,1427,15,105
50,1427,19,133
51,1427,22,154
52,1427,21,147
53,1427,22,154
54,1427,14,98
55,1427,24,168
56,1427,17,119
57,1427,23,161
58,1427,26,182
59,1427,19,133
60,1427,23,161
61,1427,21,147
62,1427,20,140
63,1427,23,161
64,1427,23,161
65,1427,26,182
66,1427,19,133
67,1427,30,210
68,1427,25,175
69,1427,28,196
70,1427,20,140
71,1427,18,126
72,1427,21,147
73,1427,17,119
74,1427,18,126
75,1427,11,77
76,1427,15,105
77,1427,14,98
78,1427,16,112
79,1427,14,98
80,1427,12,84
81,1427,8,56
82,1427,10,70
83,1427,4,28
84,1427,10,70
85,1427,5,35
86,1427,8,56
87,1427,6,42
88,1427,9,63
89,1427,9,63
90,1427,2,14
91,1427,5,35
92,1427,3,21
93,1427,5,35
94,1427,4,28
95,1427,2,14
96,1427,1,7
97,1427,2,14
98,1427,0,0
99,1427,0,0
100,1427,1,7
101,1427,0,0
102,1427,0,0
103,1427,0,0
104,1427,686,4807
105,1427,741,5192
106,11,7,6363
107,11,4,3636
108,1427,1383,9691
109,1427,34,238
110,1427,10,70
111,1190,770,6470
112,1190,626,5260
113,1190,136,1142
114,1190,8,67
115,1190,420,3529
116,1190,232,1949
117,1190,10,84
118,1190,17,142
119,1190,62,521
120,1190,99,831
121,1190,127,1067
122,1190,52,436
123,1190,75,630
124,1190,128,1075
125,1190,66,554
126,1190,37,310
127,1190,16,134
128,1190,6,50
129,1190,3,25
130,1190,382,3210
131,1190,170,1428
132,1190,38,319
133,1190,74,621
134,1190,76,638
135,1190,24,201
136,1190,230,1932
137,1190,39,327
138,1190,180,1512
139,1190,11,92
140,1190,187,1571
141,1190,40,336
142,1190,138,1159
143,1190,9,75
144,1190,136,1142
145,1190,70,588
146,1190,66,554
147,640,63,984
148,640,12,187
149,640,17,265
150,640,34,531
151,640,217,3390
152,640,35,546
153,640,61,953
154,640,121,1890
155,640,135,2109
156,640,39,609
157,640,89,1390
158,640,7,109
159,640,225,3515
160,640,110,1718
161,640,113,1765
162,640,2,31
163,1427,196,1373
164,1427,110,770
165,1427,86,602
166,1427,1141,7995
167,1427,138,967
168,1427,707,4954
169,1427,196,1373
170,1427,116,812
171,1427,258,1807
172,1427,137,960
173,1427,0,0
174,1427,0,0
175,1427,0,0
176,1427,0,0
177,1427,0,0
178,1427,174,1219
179,1427,70,490
180,1427,50,350
181,1427,47,329
182,1427,7,49
183,1427,122,854
184,1427,40,280
185,1427,44,308
186,1427,38,266
187,1427,90,630
188,1427,45,315
189,1427,6,42
190,1427,0,0
191,1427,0,0
192,1427,39,273
193,640,196,3062
194,640,110,1718
195,640,86,1343
196,640,418,6531
197,640,69,1078
198,640,235,3671
199,640,98,1531
200,640,35,546
201,640,59,921
202,640,43,671
203,640,0,0
204,640,0,0
205,640,0,0
206,640,0,0
207,640,0,0
208,640,64,1000
209,640,35,546
210,640,16,250
211,640,11,171
212,640,2,31
213,640,50,781
214,640,19,296
215,640,13,203
216,640,18,281
217,640,26,406
218,640,10,156
219,640,1,15
220,640,0,0
221,640,0,0
222,640,15,234
223,1427,196,1373
224,1427,110,770
225,1427,86,602
226,1427,1231,8626
227,1427,58,406
228,1427,224,1569
229,1427,262,1836
230,1427,234,1639
231,1427,93,651
232,1427,134,939
233,1427,226,1583
234,640,196,3062
235,640,110,1718
236,640,86,1343
237,640,444,6937
238,640,23,359
239,640,112,1750
240,640,75,1171
241,640,117,1828
242,640,18,281
243,640,30,468
244,640,69,1078
245,640,196,3062
246,640,99,1546
247,640,211,3296
248,640,0,0
249,640,0,0
250,640,27,421
251,640,44,687
252,640,33,515
253,640,22,343
254,640,0,0
255,640,8,125
256,836,117,1399
257,836,719,8600
258,443,280,6320
259,443,20,451
260,443,20,451
261,443,39,880
262,443,17,383
263,443,27,609
264,443,18,406
265,443,11,248
266,443,11,248
267,443,0,0
268,443,273,6162
269,640,246,3843
270,640,191,2984
271,640,171,2671
272,640,31,484
273,640,1,15
274,1427,1400,9810
275,1427,2,14
276,1427,0,0
277,1427,12,84
278,1427,1,7
279,1427,0,0
280,1427,5,35
281,1427,3,21
282,1427,0,0
283,1427,0,0
284,1427,0,0
285,1427,0,0
286,1427,0,0
