,indicators,geocd,values
0,1502,1461,9727
1,1502,41,272
2,1502,0,0
3,1502,11,73
4,1502,3,19
5,1502,12,79
6,1502,3,19
7,1502,5,33
8,1502,7,46
9,1502,2,13
10,1502,7,46
11,1502,4,26
12,1502,4,26
13,1502,9,59
14,1502,9,59
15,1502,7,46
16,1502,5,33
17,1502,10,66
18,1502,16,106
19,1502,10,66
20,1502,12,79
21,1502,9,59
22,1502,8,53
23,1502,5,33
24,1502,9,59
25,1502,7,46
26,1502,8,53
27,1502,11,73
28,1502,8,53
29,1502,7,46
30,1502,5,33
31,1502,3,19
32,1502,7,46
33,1502,7,46
34,1502,4,26
35,1502,2,13
36,1502,5,33
37,1502,8,53
38,1502,7,46
39,1502,5,33
40,1502,7,46
41,1502,11,73
42,1502,11,73
43,1502,7,46
44,1502,13,86
45,1502,15,99
46,1502,10,66
47,1502,12,79
48,1502,13,86
49,1502,19,126
50,1502,14,93
51,1502,16,106
52,1502,13,86
53,1502,11,73
54,1502,10,66
55,1502,12,79
56,1502,20,133
57,1502,18,119
58,1502,19,126
59,1502,17,113
60,1502,33,219
61,1502,19,126
62,1502,30,199
63,1502,26,173
64,1502,25,166
65,1502,28,186
66,1502,37,246
67,1502,44,292
68,1502,30,199
69,1502,44,292
70,1502,42,279
71,1502,26,173
72,1502,24,159
73,1502,31,206
74,1502,23,153
75,1502,35,233
76,1502,37,246
77,1502,30,199
78,1502,25,166
79,1502,19,126
80,1502,32,213
81,1502,34,226
82,1502,22,146
83,1502,29,193
84,1502,27,179
85,1502,28,186
86,1502,28,186
87,1502,27,179
88,1502,21,139
89,1502,21,139
90,1502,17,113
91,1502,17,113
92,1502,10,66
93,1502,12,79
94,1502,4,26
95,1502,9,59
96,1502,7,46
97,1502,6,39
98,1502,3,19
99,1502,2,13
100,1502,1,6
101,1502,5,33
102,1502,3,19
103,1502,0,0
104,1502,677,4507
105,1502,825,5492
106,12,7,5833
107,12,5,4166
108,1502,1419,9447
109,1502,49,326
110,1502,34,226
111,1347,908,6740
112,1347,814,6043
113,1347,78,579
114,1347,16,118
115,1347,439,3259
116,1347,160,1187
117,1347,21,155
118,1347,13,96
119,1347,65,482
120,1347,180,1336
121,1347,79,586
122,1347,31,230
123,1347,48,356
124,1347,56,415
125,1347,35,259
126,1347,15,111
127,1347,2,14
128,1347,3,22
129,1347,1,7
130,1347,244,1811
131,1347,128,950
132,1347,36,267
133,1347,33,244
134,1347,35,259
135,1347,12,89
136,1347,278,2063
137,1347,43,319
138,1347,215,1596
139,1347,20,148
140,1347,322,2390
141,1347,59,438
142,1347,261,1937
143,1347,2,14
144,1347,368,2731
145,1347,142,1054
146,1347,226,1677
147,764,16,209
148,764,1,13
149,764,6,78
150,764,9,117
151,764,134,1753
152,764,34,445
153,764,38,497
154,764,62,811
155,764,150,1963
156,764,43,562
157,764,95,1243
158,764,12,157
159,764,464,6073
160,764,201,2630
161,764,261,3416
162,764,2,26
163,1461,279,1909
164,1461,201,1375
165,1461,78,533
166,1461,1082,7405
167,1461,384,2628
168,1461,556,3805
169,1461,240,1642
170,1461,102,698
171,1461,130,889
172,1461,84,574
173,1461,4,27
174,1461,4,27
175,1461,0,0
176,1461,0,0
177,1461,0,0
178,1461,75,513
179,1461,50,342
180,1461,13,88
181,1461,12,82
182,1461,0,0
183,1461,63,431
184,1461,19,130
185,1461,21,143
186,1461,23,157
187,1461,100,684
188,1461,0,0
189,1461,24,164
190,1461,0,0
191,1461,17,116
192,1461,59,403
193,764,279,3651
194,764,201,2630
195,764,78,1020
196,764,457,5981
197,764,192,2513
198,764,207,2709
199,764,120,1570
200,764,31,405
201,764,30,392
202,764,26,340
203,764,2,26
204,764,2,26
205,764,0,0
206,764,0,0
207,764,0,0
208,764,32,418
209,764,25,327
210,764,4,52
211,764,3,39
212,764,0,0
213,764,24,314
214,764,7,91
215,764,6,78
216,764,11,143
217,764,28,366
218,764,0,0
219,764,4,52
220,764,0,0
221,764,7,91
222,764,17,222
223,1461,279,1909
224,1461,201,1375
225,1461,78,533
226,1461,1182,8090
227,1461,14,95
228,1461,510,3490
229,1461,138,944
230,1461,204,1396
231,1461,30,205
232,1461,102,698
233,1461,184,1259
234,764,279,3651
235,764,201,2630
236,764,78,1020
237,764,485,6348
238,764,5,65
239,764,255,3337
240,764,40,523
241,764,102,1335
242,764,6,78
243,764,22,287
244,764,55,719
245,764,279,3651
246,764,63,824
247,764,344,4502
248,764,0,0
249,764,2,26
250,764,7,91
251,764,34,445
252,764,14,183
253,764,14,183
254,764,0,0
255,764,7,91
256,635,87,1370
257,635,548,8629
258,484,399,8243
259,484,12,247
260,484,9,185
261,484,22,454
262,484,10,206
263,484,11,227
264,484,11,227
265,484,4,82
266,484,6,123
267,484,0,0
268,484,139,2871
269,764,302,3952
270,764,310,4057
271,764,139,1819
272,764,12,157
273,764,1,13
274,1502,1439,9580
275,1502,14,93
276,1502,1,6
277,1502,31,206
278,1502,4,26
279,1502,0,0
280,1502,2,13
281,1502,0,0
282,1502,0,0
283,1502,0,0
284,1502,0,0
285,1502,4,26
286,1502,5,33
287,1502,0,0
288,1502,0,0
289,1502,1,6
290,1502,0,0
291,1502,1,6
292,1502,1485,9886
293,1502,6,39
294,1502,9,59
295,1502,1,6
296,1502,1,6
297,764,279,3651
298,764,452,5916
299,764,3,39
300,764,28,366
301,764,2,26
302,1502,1455,9687
303,1502,1412,9400
304,1502,1361,9061
305,1502,9,59
306,1502,26,173
307,1502,15,99
308,1502,1,6
309,1502,0,0
310,1502,0,0
311,1502,0,0
312,1502,0,0
313,1502,0,0
314,1502,13,86
315,1502,30,199
316,1502,15,99
317,1502,0,0
318,1502,0,0
319,1502,0,0
320,1502,0,0
321,1502,0,0
322,1502,15,99
323,1502,2,13
324,1502,0,0
325,1502,10,66
326,1502,1,6
327,1502,2,13
328,1502,0,0
329,1502,20,133
330,1502,2,13
331,1502,1,6
332,1502,1,6
333,1502,2,13
334,1502,0,0
335,1502,1,6
336,1502,1,6
337,1502,8,53
338,1502,0,0
339,1502,5,33
340,1502,2,13
341,1502,1,6
