,indicators,geocd,values
0,1428,1427,9992
1,1428,1,7
2,1428,0,0
3,1428,13,91
4,1428,18,126
5,1428,16,112
6,1428,8,56
7,1428,12,84
8,1428,7,49
9,1428,11,77
10,1428,7,49
11,1428,7,49
12,1428,13,91
13,1428,7,49
14,1428,12,84
15,1428,14,98
16,1428,4,28
17,1428,10,70
18,1428,13,91
19,1428,12,84
20,1428,13,91
21,1428,9,63
22,1428,11,77
23,1428,9,63
24,1428,7,49
25,1428,12,84
26,1428,16,112
27,1428,16,112
28,1428,10,70
29,1428,12,84
30,1428,7,49
31,1428,14,98
32,1428,15,105
33,1428,18,126
34,1428,21,147
35,1428,23,161
36,1428,7,49
37,1428,19,133
38,1428,16,112
39,1428,15,105
40,1428,17,119
41,1428,14,98
42,1428,18,126
43,1428,15,105
44,1428,15,105
45,1428,19,133
46,1428,21,147
47,1428,20,140
48,1428,19,133
49,1428,26,182
50,1428,18,126
51,1428,18,126
52,1428,19,133
53,1428,16,112
54,1428,14,98
55,1428,25,175
56,1428,21,147
57,1428,19,133
58,1428,22,154
59,1428,23,161
60,1428,37,259
61,1428,16,112
62,1428,34,238
63,1428,21,147
64,1428,20,140
65,1428,20,140
66,1428,23,161
67,1428,37,259
68,1428,28,196
69,1428,23,161
70,1428,16,112
71,1428,21,147
72,1428,24,168
73,1428,16,112
74,1428,20,140
75,1428,17,119
76,1428,18,126
77,1428,16,112
78,1428,18,126
79,1428,21,147
80,1428,10,70
81,1428,13,91
82,1428,24,168
83,1428,18,126
84,1428,11,77
85,1428,12,84
86,1428,7,49
87,1428,8,56
88,1428,7,49
89,1428,6,42
90,1428,3,21
91,1428,2,14
92,1428,2,14
93,1428,14,98
94,1428,2,14
95,1428,4,28
96,1428,0,0
97,1428,0,0
98,1428,1,7
99,1428,3,21
100,1428,1,7
101,1428,1,7
102,1428,0,0
103,1428,0,0
104,1428,712,4985
105,1428,716,5014
106,13,8,6153
107,13,5,3846
108,1428,1322,9257
109,1428,58,406
110,1428,48,336
111,1255,710,5657
112,1255,526,4191
113,1255,168,1338
114,1255,16,127
115,1255,545,4342
116,1255,224,1784
117,1255,19,151
118,1255,39,310
119,1255,145,1155
120,1255,118,940
121,1255,105,836
122,1255,52,414
123,1255,53,422
124,1255,146,1163
125,1255,79,629
126,1255,51,406
127,1255,7,55
128,1255,7,55
129,1255,2,15
130,1255,365,2908
131,1255,241,1920
132,1255,31,247
133,1255,36,286
134,1255,42,334
135,1255,15,119
136,1255,252,2007
137,1255,71,565
138,1255,171,1362
139,1255,10,79
140,1255,199,1585
141,1255,69,549
142,1255,129,1027
143,1255,1,7
144,1255,188,1498
145,1255,105,836
146,1255,83,661
147,782,93,1189
148,782,30,383
149,782,20,255
150,782,43,549
151,782,244,3120
152,782,88,1125
153,782,82,1048
154,782,74,946
155,782,158,2020
156,782,71,907
157,782,79,1010
158,782,8,102
159,782,287,3670
160,782,174,2225
161,782,112,1432
162,782,1,12
163,1427,363,2543
164,1427,174,1219
165,1427,189,1324
166,1427,996,6979
167,1427,142,995
168,1427,520,3644
169,1427,226,1583
170,1427,71,497
171,1427,145,1016
172,1427,78,546
173,1427,4,28
174,1427,4,28
175,1427,0,0
176,1427,0,0
177,1427,0,0
178,1427,208,1457
179,1427,100,700
180,1427,51,357
181,1427,57,399
182,1427,0,0
183,1427,122,854
184,1427,54,378
185,1427,41,287
186,1427,27,189
187,1427,68,476
188,1427,10,70
189,1427,0,0
190,1427,3,21
191,1427,7,49
192,1427,48,336
193,782,363,4641
194,782,174,2225
195,782,189,2416
196,782,395,5051
197,782,71,907
198,782,191,2442
199,782,113,1445
200,782,22,281
201,782,34,434
202,782,22,281
