,indicators,geocd,values
0,1380,1380,10000
1,1380,0,0
2,1380,0,0
3,1380,14,101
4,1380,20,144
5,1380,17,123
6,1380,12,86
7,1380,14,101
8,1380,20,144
9,1380,16,115
10,1380,8,57
11,1380,14,101
12,1380,22,159
13,1380,16,115
14,1380,15,108
15,1380,13,94
16,1380,9,65
17,1380,16,115
18,1380,12,86
19,1380,15,108
20,1380,16,115
21,1380,16,115
22,1380,14,101
23,1380,17,123
24,1380,17,123
25,1380,23,166
26,1380,12,86
27,1380,9,65
28,1380,14,101
29,1380,12,86
30,1380,12,86
31,1380,15,108
32,1380,16,115
33,1380,13,94
34,1380,12,86
35,1380,9,65
36,1380,16,115
37,1380,17,123
38,1380,16,115
39,1380,15,108
40,1380,9,65
41,1380,16,115
42,1380,17,123
43,1380,9,65
44,1380,13,94
45,1380,11,79
46,1380,24,173
47,1380,34,246
48,1380,26,188
49,1380,29,210
50,1380,22,159
51,1380,20,144
52,1380,25,181
53,1380,24,173
54,1380,22,159
55,1380,18,130
56,1380,15,108
57,1380,22,159
58,1380,29,210
59,1380,17,123
60,1380,15,108
61,1380,21,152
62,1380,20,144
63,1380,17,123
64,1380,13,94
65,1380,16,115
66,1380,19,137
67,1380,22,159
68,1380,8,57
69,1380,15,108
70,1380,19,137
71,1380,21,152
72,1380,20,144
73,1380,19,137
74,1380,14,101
75,1380,15,108
76,1380,22,159
77,1380,8,57
78,1380,10,72
79,1380,12,86
80,1380,13,94
81,1380,13,94
82,1380,10,72
83,1380,7,50
84,1380,8,57
85,1380,8,57
86,1380,6,43
87,1380,8,57
88,1380,3,21
89,1380,4,28
90,1380,3,21
91,1380,4,28
92,1380,10,72
93,1380,3,21
94,1380,1,7
95,1380,6,43
96,1380,0,0
97,1380,1,7
98,1380,0,0
99,1380,0,0
100,1380,0,0
101,1380,0,0
102,1380,0,0
103,1380,0,0
104,1380,677,4905
105,1380,703,5094
106,14,5,3571
107,14,9,6428
108,1380,1349,9775
109,1380,24,173
110,1380,7,50
111,1142,722,6322
112,1142,566,4956
113,1142,148,1295
114,1142,8,70
115,1142,420,3677
116,1142,226,1978
117,1142,5,43
118,1142,20,175
119,1142,72,630
120,1142,97,849
121,1142,139,1217
122,1142,69,604
123,1142,70,612
124,1142,136,1190
125,1142,50,437
126,1142,63,551
127,1142,18,157
128,1142,4,35
129,1142,1,8
130,1142,387,3388
131,1142,190,1663
132,1142,51,446
133,1142,58,507
134,1142,53,464
135,1142,35,306
136,1142,189,1654
137,1142,30,262
138,1142,145,1269
139,1142,14,122
140,1142,161,1409
141,1142,49,429
142,1142,109,954
143,1142,3,26
144,1142,130,1138
145,1142,51,446
146,1142,79,691
147,610,72,1180
